"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1935","500","500","26","26","288","135","405","54","1","1935"
"nlsr1","4814","1000","1000","81","81","843","421","1221","166","1","4814"
"nlsr2","3330","272","272","81","81","815","428","1224","156","1","3330"
"nlsr3","2432","288","288","54","54","542","281","812","112","1","2432"
"nlsr4","1910","30","30","54","54","550","279","814","98","1","1910"
"nlsr5","1914","26","26","54","54","541","286","818","108","1","1914"
"nlsr6","2929","64","64","81","81","809","423","1214","192","1","2929"
"nlsr7","1896","30","30","54","54","545","273","809","100","1","1896"
"nlsr8","1893","26","26","54","54","527","280","811","114","1","1893"
"nlsr9","1911","32","32","54","54","528","278","810","122","1","1911"
"nlsr10","1934","32","32","52","52","554","279","810","122","1","1934"
"sum","26898","2300","2300","645","645","6542","3363","9748","1344","11","26898"
