"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1868","500","500","29","29","257","126","372","54","1","1868"
"nlsr1","4734","1000","1000","88","88","755","424","1196","182","1","4734"
"nlsr2","3764","560","560","82","82","729","428","1166","156","1","3764"
"nlsr3","1942","0","0","55","55","503","332","862","134","1","1942"
"nlsr4","2679","58","58","81","81","744","383","1123","150","1","2679"
"nlsr5","2806","62","62","84","84","739","452","1169","152","2","2806"
"nlsr6","3072","0","0","85","85","748","582","1364","206","2","3072"
"nlsr7","1781","28","28","56","56","504","254","748","106","1","1781"
"nlsr8","1787","30","30","56","56","500","253","748","112","2","1787"
"nlsr9","1767","30","30","56","56","487","254","745","108","1","1767"
"nlsr10","2963","32","32","83","83","739","547","1278","168","1","2963"
"nlsr11","2037","0","0","56","56","495","381","919","128","2","2037"
"nlsr12","1780","28","28","56","55","485","257","748","122","1","1780"
"nlsr13","1768","30","30","55","55","474","249","747","126","2","1768"
"nlsr14","1745","30","30","57","57","465","249","742","114","1","1745"
"nlsr15","2836","32","32","86","86","715","484","1238","162","1","2836"
"sum","39329","2420","2420","1065","1064","9339","5655","15165","2180","21","39329"
