"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","1295","490","478","26","26","67","28","123","56","1","1295","88555"
"nlsr1","2965","980","956","81","81","198","90","409","168","2","2965","299106"
"nlsr2","1534","258","258","82","82","188","91","418","155","2","1534","308227"
"nlsr3","1307","310","286","54","54","141","60","281","120","1","1307","206658"
"nlsr4","721","26","26","54","54","132","61","271","96","1","721","199682"
"nlsr5","756","38","38","54","54","131","65","262","112","2","756","190829"
"nlsr6","1277","92","68","81","81","213","100","468","172","2","1277","345719"
"nlsr7","683","26","26","54","54","115","58","249","100","1","683","184321"
"nlsr8","717","38","38","52","52","121","67","243","104","2","717","176096"
"nlsr9","798","56","36","54","54","129","70","289","108","2","798","213402"
"nlsr10","787","34","32","54","54","134","71","309","97","2","787","228324"
"sum","12840","2348","2242","646","646","1569","761","3322","1288","18","12840","2440919"
