frame.number,frame.time_epoch,ip.src,ip.dst,_ws.col.Protocol,frame.len,_ws.col.Info
"45","1634005821.261784000","172.17.0.2","172.17.0.12","UDP (NDN)","824","Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%08/35=%00%00%01%7CrV%27F/33=%00"
"46","1634005821.709731000","172.17.0.12","172.17.0.2","UDP (NDN)","85","Interest /ndn/edu/uaslp/move/moving09"
"47","1634005821.713797000","172.17.0.2","172.17.0.12","UDP (NDN)","236","Data /ndn/edu/uaslp/move/moving09"
"48","1634005822.636109000",,,"ARP","42","Who has 172.17.0.2? Tell 172.17.0.12"
"49","1634005822.636141000",,,"ARP","42","172.17.0.2 is at 02:42:ac:11:00:02"
"50","1634005822.731629000","172.17.0.12","172.17.0.2","UDP (NDN)","83","Interest /ndn/edu/uaslp/univ/class7"
"51","1634005822.737559000","172.17.0.2","172.17.0.12","UDP (NDN)","232","Data /ndn/edu/uaslp/univ/class7"
"52","1634005823.753292000","172.17.0.12","172.17.0.2","UDP (NDN)","83","Interest /ndn/edu/uaslp/univ/class3"
"53","1634005823.756128000","172.17.0.2","172.17.0.12","UDP (NDN)","230","Data /ndn/edu/uaslp/univ/class3"
"54","1634005824.773513000","172.17.0.12","172.17.0.2","UDP (NDN)","83","Interest /ndn/edu/uaslp/univ/class8"
"55","1634005824.777412000","172.17.0.2","172.17.0.12","UDP (NDN)","232","Data /ndn/edu/uaslp/univ/class8"
