"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","1295","484","0","9","17","36","0","38","5","56","1","43","28750","24459","4291"
"nlsr1","2965","490","478","54","27","93","59","129","91","168","2","220","161510","82893","78617"
"nlsr2","1534","32","226","45","37","87","59","114","107","155","2","221","165727","73254","92473"
"nlsr3","1307","46","252","27","27","76","29","76","63","120","1","139","103353","49030","54323"
"nlsr4","721","13","13","27","27","72","29","80","56","96","1","136","99859","51486","48373"
"nlsr5","756","19","19","27","27","68","29","84","48","112","2","132","95484","54052","41432"
"nlsr6","1277","46","34","45","36","102","65","135","107","172","2","242","179243","86802","92441"
"nlsr7","683","13","13","27","27","60","29","72","50","100","1","122","89535","46268","43267"
"nlsr8","717","19","19","26","26","68","33","80","46","104","2","126","91262","51528","39734"
"nlsr9","798","28","18","27","27","72","33","86","61","108","2","147","108109","55426","52683"
"nlsr10","787","17","16","27","27","74","34","94","66","97","2","160","117377","60406","56971"
"sum","12840","1207","1088","341","305","808","399","988","700","1288","18","1688","1240209","635604","604605"
