"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1344","99","99","11","11","375","182","548","18","1","1344"
"nlsr1","3845","198","198","36","36","1078","566","1656","76","1","3845"
"nlsr2","3577","68","68","36","36","1029","572","1659","108","1","3577"
"nlsr3","2425","82","82","24","24","678","381","1103","50","1","2425"
"nlsr4","2344","26","26","24","24","692","377","1104","70","1","2344"
"nlsr5","2347","24","24","24","24","697","379","1107","68","0","2347"
"nlsr6","3487","52","52","36","36","1012","565","1656","78","0","3487"
"nlsr7","2357","26","26","24","24","714","372","1104","66","1","2357"
"nlsr8","2350","24","24","22","22","722","377","1104","54","1","2350"
"nlsr9","2327","28","28","22","22","702","369","1100","56","0","2327"
"nlsr10","2324","24","24","22","22","710","368","1101","52","1","2324"
"sum","28727","651","651","281","281","8409","4508","13242","696","8","28727"
