"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1671","497","497","29","29","194","88","264","72","1","1671"
"nlsr1","3989","994","994","83","83","576","282","798","178","1","3989"
"nlsr2","2605","298","298","82","82","587","287","798","172","1","2605"
"nlsr3","1864","269","269","56","56","375","191","532","114","2","1864"
"nlsr4","1448","38","38","56","56","396","189","532","142","1","1448"
"nlsr5","1424","36","36","56","56","391","184","530","134","1","1424"
"nlsr6","2114","66","66","85","85","557","274","798","182","1","2114"
"nlsr7","1432","38","38","54","54","379","183","532","152","2","1432"
"nlsr8","1418","36","36","55","55","368","181","532","154","1","1418"
"nlsr9","1346","26","26","59","58","350","178","532","116","1","1346"
"nlsr10","1392","40","40","57","57","354","178","529","136","1","1392"
"sum","20703","2338","2338","672","671","4527","2215","6377","1552","13","20703"
