"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","2982","500","0","18","36","308","152","282","141","122","1","423","303820","182222","121598"
"nlsr1","4014","253","253","55","28","456","302","426","282","194","1","708","518386","275190","243196"
"nlsr2","3495","31","247","55","28","414","314","426","295","186","1","721","529591","275190","254401"
"nlsr3","2258","15","121","27","27","298","154","284","147","136","1","431","310292","183460","126832"
"nlsr4","2277","14","132","28","27","300","156","283","146","114","1","429","308664","182821","125843"
"nlsr5","2015","16","16","28","28","288","157","284","148","118","1","432","311088","183460","127628"
"nlsr6","2004","15","15","28","28","292","149","281","147","122","1","428","308343","181583","126760"
"nlsr7","2031","15","15","27","28","294","152","282","147","135","1","429","309053","182222","126831"
"nlsr8","2000","14","14","27","27","308","158","282","146","96","1","428","308053","182222","125831"
"nlsr9","1982","16","16","27","27","292","150","282","148","112","1","430","309833","182222","127611"
"nlsr10","1969","15","15","27","27","284","148","282","147","106","1","429","309005","182222","126783"
"sum","27027","904","844","347","311","3534","1992","3394","1894","1441","11","5288","3826128","2192814","1633314"
