"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","2982","500","500","54","54","598","308","845","122","1","2982","607001"
"nlsr1","4014","506","506","83","83","908","460","1273","194","1","4014","913896"
"nlsr2","3495","278","278","83","83","858","453","1275","186","1","3495","915174"
"nlsr3","2258","136","136","54","54","597","294","850","136","1","2258","610116"
"nlsr4","2277","146","146","55","55","606","305","849","114","1","2277","609477"
"nlsr5","2015","32","32","56","56","572","298","850","118","1","2015","610116"
"nlsr6","2004","30","30","56","56","572","292","845","122","1","2004","607001"
"nlsr7","2031","30","30","55","55","585","294","846","135","1","2031","607640"
"nlsr8","2000","28","28","54","54","594","299","846","96","1","2000","607640"
"nlsr9","1982","32","32","54","54","561","290","846","112","1","1982","607640"
"nlsr10","1969","30","30","54","54","563","286","845","106","1","1969","607001"
"sum","27027","1748","1748","658","658","7014","3579","10170","1441","11","27027","7302702"
