"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1906","500","500","27","27","283","128","378","62","1","1906"
"nlsr1","4730","1000","1000","85","85","821","388","1140","210","1","4730"
"nlsr2","3212","268","268","84","84","792","397","1140","178","1","3212"
"nlsr3","2388","293","293","57","57","514","263","760","150","1","2388"
"nlsr4","1847","28","28","57","57","535","267","759","114","2","1847"
"nlsr5","1841","30","30","56","56","519","268","760","121","1","1841"
"nlsr6","2775","64","64","84","81","748","411","1140","182","1","2775"
"nlsr7","1830","28","28","54","54","526","265","758","116","1","1830"
"nlsr8","1823","30","30","53","53","511","265","760","120","1","1823"
"nlsr9","1796","32","32","54","54","485","264","760","114","1","1796"
"nlsr10","1803","32","32","53","53","506","266","760","100","1","1803"
"sum","25951","2305","2305","664","661","6240","3182","9115","1467","12","25951"
