"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1815","499","499","27","27","237","113","339","72","2","1815"
"nlsr1","4458","998","998","83","83","697","353","1032","212","2","4458"
"nlsr2","3070","321","321","81","81","688","356","1031","190","1","3070"
"nlsr3","2080","239","239","54","54","450","237","688","118","1","2080"
"nlsr4","1697","34","34","54","54","467","238","686","128","2","1697"
"nlsr5","1652","30","30","54","54","458","237","688","100","1","1652"
"nlsr6","2508","58","58","81","81","675","359","1031","164","1","2508"
"nlsr7","1676","34","34","54","54","450","236","686","126","2","1676"
"nlsr8","1634","30","30","53","53","442","238","684","102","2","1634"
"nlsr9","1631","30","30","53","53","442","236","684","102","1","1631"
"nlsr10","1644","28","28","54","54","447","235","684","112","2","1644"
"sum","23865","2301","2301","648","648","5453","2838","8233","1426","17","23865"
