"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","787","500","0","9","19","133","1","125","0","58","1","125","81676","81676","0"
"nlsr1","2385","500","500","59","29","399","268","378","252","170","1","630","466155","246960","219195"
"nlsr2","1643","30","259","48","38","363","268","378","259","164","1","637","472229","246957","225272"
"nlsr3","1099","30","241","27","28","248","140","252","133","110","1","385","280339","164640","115699"
"nlsr4","852","16","16","27","28","248","134","252","131","138","1","383","278564","164638","113926"
"nlsr5","842","14","14","27","28","250","130","250","129","118","1","379","275578","163350","112228"
"nlsr6","1410","30","30","45","36","366","266","378","259","168","1","637","472268","246960","225308"
"nlsr7","856","16","16","28","28","254","133","252","129","136","1","381","276840","164638","112202"
"nlsr8","835","14","14","28","28","248","125","252","126","134","1","378","274266","164638","109628"
"nlsr9","850","14","14","28","28","260","128","252","126","116","1","378","274265","164640","109625"
"nlsr10","859","16","16","28","28","256","134","252","129","134","1","381","276875","164640","112235"
"sum","12418","1180","1120","354","318","3025","1727","3021","1673","1446","11","4694","3429055","1973737","1455318"
