"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"sum7","128692","6774","6370","1641","1403","15102","8840","14681","8470","6472","572","23151","14516937","8045650","6471287"
"sum10","145382","7116","6690","2113","1884","17149","9543","16471","9297","8723","92","25768","18710976","10672416","8038560"
"sum10_alt","141783","5484","5104","2136","1900","17710","9895","16989","9407","8562","73","26396","19071752","10963765","8107987"
"sum15","251747","7426","7066","3456","3211","30584","19828","30134","19446","14064","138","49580","43069100","23617180","19451920"
