"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","3070","500","500","58","58","623","324","894","112","1","3070","640660"
"nlsr1","4209","546","546","84","84","961","476","1347","164","1","4209","964704"
"nlsr2","3582","256","256","87","87","901","469","1347","178","1","3582","964704"
"nlsr3","2327","138","138","56","56","629","315","898","96","1","2327","643136"
"nlsr4","2401","166","166","56","56","631","314","893","118","1","2401","639987"
"nlsr5","2088","26","26","56","56","595","310","894","124","1","2088","640660"
"nlsr6","2089","32","32","56","56","608","308","894","102","1","2089","640660"
"nlsr7","2081","30","30","57","57","612","308","891","94","2","2081","638749"
"nlsr8","2105","32","32","59","59","598","311","891","122","1","2105","638749"
"nlsr9","2085","26","26","57","57","588","311","893","126","1","2085","640023"
"nlsr10","2085","32","32","59","58","596","307","894","106","1","2085","640660"
"sum","28122","1784","1784","685","684","7342","3753","10736","1342","12","28122","7692692"
