"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1786","499","499","27","27","236","114","321","62","1","1786"
"nlsr1","4398","998","998","86","86","699","352","978","200","1","4398"
"nlsr2","2967","304","304","85","82","667","350","978","196","1","2967"
"nlsr3","2092","257","257","55","55","459","230","652","126","1","2092"
"nlsr4","1613","32","32","54","54","438","224","645","132","2","1613"
"nlsr5","1611","34","34","55","54","441","228","648","116","1","1611"
"nlsr6","2448","58","58","81","81","667","346","972","184","1","2448"
"nlsr7","1561","32","32","54","54","420","219","645","102","3","1561"
"nlsr8","1593","34","34","54","54","424","220","648","124","1","1593"
"nlsr9","1595","30","30","54","54","425","228","645","128","1","1595"
"nlsr10","1579","28","28","54","54","427","227","648","112","1","1579"
"sum","23243","2306","2306","659","655","5303","2738","7780","1482","14","23243"
