"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","770","500","0","8","17","127","0","118","0","56","1","118","76165","76165","0"
"nlsr1","2297","500","500","54","27","378","248","354","236","192","1","590","431955","228495","203460"
"nlsr2","1552","29","234","45","36","360","252","354","242","196","1","596","437103","228495","208608"
"nlsr3","1087","34","266","27","27","236","135","234","128","110","1","362","261379","151068","110311"
"nlsr4","806","14","14","27","27","242","127","234","121","104","1","355","255374","151068","104306"
"nlsr5","817","15","15","27","27","242","131","236","124","124","1","360","259215","152330","106885"
"nlsr6","1357","34","34","46","37","345","261","354","246","154","1","600","440536","228495","212041"
"nlsr7","812","14","14","27","27","248","126","236","120","94","1","356","255792","152330","103462"
"nlsr8","823","15","15","27","27","260","125","236","118","114","1","354","254060","152330","101730"
"nlsr9","806","17","17","27","27","242","124","234","118","98","1","352","252798","151068","101730"
"nlsr10","808","17","17","27","26","244","122","236","119","120","1","355","254923","152330","102593"
"sum","11935","1189","1126","342","305","2924","1651","2826","1572","1362","11","4398","3179300","1824174","1355126"
