1632980654.665448 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297317
1632980655.666270 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297318?MustBeFresh&Nonce=0cb40881
1632980655.668357 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297318
1632980656.666681 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297319?MustBeFresh&Nonce=78dc1813
1632980656.669098 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297319
1632980657.667646 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297320?MustBeFresh&Nonce=c33642d3
1632980657.669694 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297320
1632980658.668318 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297321?MustBeFresh&Nonce=0f3c9136
1632980658.670723 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297321
1632980659.668732 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297322?MustBeFresh&Nonce=174a80c5
1632980659.671340 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297322
1632980660.673418 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297323?MustBeFresh&Nonce=7b70853f
1632980660.675449 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297323
1632980661.678257 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297324?MustBeFresh&Nonce=e53b5c4d
1632980661.680232 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297324
1632980662.683397 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297325?MustBeFresh&Nonce=4bb5a43a
1632980662.685428 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297325
1632980663.686341 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297326?MustBeFresh&Nonce=d033bb31
1632980663.688445 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297326
1632980664.687095 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297327?MustBeFresh&Nonce=57177462
1632980664.689125 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297327
1632980665.665218 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297328?MustBeFresh&Nonce=dbc32278
1632980665.667645 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297328
1632980666.666002 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297329?MustBeFresh&Nonce=0633036f
1632980666.668699 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297329
1632980667.666825 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297330?MustBeFresh&Nonce=7cd99542
1632980667.669190 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297330
1632980668.671838 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297331?MustBeFresh&Nonce=ae285819
1632980668.674338 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297331
1632980669.672807 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297332?MustBeFresh&Nonce=27d11526
1632980669.675146 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297332
1632980670.673542 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297333?MustBeFresh&Nonce=af630edc
1632980670.675730 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297333
1632980671.677691 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297334?MustBeFresh&Nonce=714417d1
1632980671.680106 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297334
1632980672.677906 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297335?MustBeFresh&Nonce=d474add5
1632980672.680254 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297335
1632980673.680867 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297336?MustBeFresh&Nonce=3f35b9e9
1632980673.682915 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297336
1632980674.681287 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297337?MustBeFresh&Nonce=ef86bad5
1632980674.683740 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297337
1632980675.682081 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297338?MustBeFresh&Nonce=05c314f0
1632980675.684550 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297338
1632980676.685582 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297339?MustBeFresh&Nonce=c09b9820
1632980676.687567 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297339
1632980677.690251 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297340?MustBeFresh&Nonce=bc485a41
1632980677.692592 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297340
1632980678.690581 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297341?MustBeFresh&Nonce=5c40c7ce
1632980678.693149 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297341
1632980679.695798 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297342?MustBeFresh&Nonce=c1807986
1632980679.697665 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297342
1632980680.699401 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297343?MustBeFresh&Nonce=c9aebf43
1632980680.701708 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297343
1632980681.700601 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297344?MustBeFresh&Nonce=ca2c1d07
1632980681.702617 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297344
1632980682.702057 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297345?MustBeFresh&Nonce=28970962
1632980682.704419 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297345
1632980683.702281 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297346?MustBeFresh&Nonce=cb7e741b
1632980683.704504 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297346
1632980684.706071 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297347?MustBeFresh&Nonce=e5d01ff2
1632980684.708661 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297347
1632980685.706828 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297348?MustBeFresh&Nonce=a51f2de1
1632980685.708865 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297348
