"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1736","499","499","27","27","216","101","296","70","1","1736"
"nlsr1","4238","998","998","88","88","647","322","894","202","1","4238"
"nlsr2","2773","287","287","90","90","634","316","896","172","1","2773"
"nlsr3","2044","279","279","58","58","428","219","594","128","1","2044"
"nlsr4","1503","30","30","58","58","417","207","597","104","2","1503"
"nlsr5","1513","38","38","57","57","411","211","596","104","1","1513"
"nlsr6","2337","66","66","86","86","633","318","891","190","1","2337"
"nlsr7","1493","30","30","57","56","397","204","598","120","1","1493"
"nlsr8","1494","38","38","55","55","387","214","598","108","1","1494"
"nlsr9","1501","36","36","55","55","400","204","594","120","1","1501"
"nlsr10","1508","30","30","55","55","408","205","594","130","1","1508"
"sum","22140","2331","2331","686","685","4978","2521","7148","1448","12","22140"
