"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","2095","500","500","27","27","331","161","482","66","1","2095"
"nlsr1","5461","1000","1000","90","90","975","574","1561","170","1","5461"
"nlsr2","4462","560","560","90","90","917","565","1517","162","1","4462"
"nlsr3","2480","0","0","60","60","659","455","1137","108","1","2480"
"nlsr4","3366","52","52","90","90","952","506","1455","168","1","3366"
"nlsr5","3526","68","68","88","88","918","584","1517","194","1","3526"
"nlsr6","3865","0","0","88","88","977","754","1766","190","2","3865"
"nlsr7","2292","26","26","60","60","650","333","970","166","1","2292"
"nlsr8","2239","26","26","60","60","644","330","966","126","1","2239"
"nlsr9","2239","34","34","58","58","623","342","967","122","1","2239"
"nlsr10","3730","34","34","88","87","948","710","1658","170","1","3730"
"nlsr11","2574","0","0","58","57","648","514","1176","118","3","2574"
"nlsr12","2265","26","26","57","57","640","325","965","168","1","2265"
"nlsr13","2214","26","26","57","57","621","321","965","140","1","2214"
"nlsr14","2181","34","34","56","56","607","328","965","100","1","2181"
"nlsr15","3620","34","34","83","83","940","661","1619","164","2","3620"
"sum","48609","2420","2420","1110","1108","12050","7463","19686","2332","20","48609"
