"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1951","500","500","27","27","294","136","392","74","1","1951"
"nlsr1","4852","1000","1000","83","83","857","429","1179","220","1","4852"
"nlsr2","3392","288","288","81","81","841","428","1178","206","1","3392"
"nlsr3","2386","272","272","54","54","548","289","786","110","1","2386"
"nlsr4","1909","28","28","54","54","566","286","786","106","1","1909"
"nlsr5","1897","30","30","54","54","554","279","785","110","1","1897"
"nlsr6","2831","62","62","81","81","792","424","1182","146","1","2831"
"nlsr7","1895","28","28","54","54","559","287","788","96","1","1895"
"nlsr8","1879","30","30","53","53","545","279","788","100","1","1879"
"nlsr9","1861","32","32","53","53","505","270","789","126","1","1861"
"nlsr10","1843","30","30","54","54","518","276","788","92","1","1843"
"sum","26696","2300","2300","648","648","6579","3383","9441","1386","11","26696"
