frame.number,frame.time_epoch,ip.src,ip.dst,_ws.col.Protocol,frame.len,_ws.col.Info
"1","1642561134.920126000","172.17.0.7","172.17.0.10","UDP (NDN)","84","Interest /ndn/edu/uaslp/home/coffee3"
"2","1642561134.920253000","172.17.0.10","172.17.0.15","UDP (NDN)","84","Interest /ndn/edu/uaslp/home/coffee3"
"3","1642561134.920981000","172.17.0.15","172.17.0.10","UDP (NDN)","234","Data /ndn/edu/uaslp/home/coffee3"
"4","1642561134.921173000","172.17.0.10","172.17.0.7","UDP (NDN)","234","Data /ndn/edu/uaslp/home/coffee3"
"5","1642561137.117160000","172.17.0.7","172.17.0.10","UDP (NDN)","833","Data /localhop/ndn/nlsr/sync/35=%0A/x%DAc%60%40%01L%5D%D9%86%8C%8F%14%95%9F3%10%07%18%D9%1B%8C%82%CF%A7o%FC%0AbO%90%08%D8%D2%BB%E1%F2%27%909%939%AE%A6%A5%BE%7B%E7%00%12o%8F%08%8A%11%AD%9F%3A%09%9F96%9D%82%13%B6%5D%2F%F9%05b%9F%5B%5B%2Cx%E4%F5%3Eyt5f%AE%AE%16%D2%8E%DA%27%18H%07%8C%EF%FD%3A%EBT%AEn%99%0Fb%7B%5EX%DE%B9y%BD%F0%1C%90%3B%AF%CA%BF_%B9%9B%2Bj1%90%CD%ECu%DE%E8%E3%9F%07%DE%29%E8z%B9%247%06%AD%AA%BB%7F%15%9F%F9%EB%13%A6%9D%7BZ%B82%01%C4%5E%EE%7F%B5cb%7F%D5v45LS%F5%D6%F7%3CN%FF%A3%0BR%F3%F6E%A4%93%ED%7F%97%5E%10%BB%20q%93l%C5y_%26t3%EF.x%E0%93Xv%27%12%C4%0Ei%3E%BA%F8NV%60%27%1E70%D9%18%0A%2F%3D%98%D5%22%09b%3B%F7M%FF%3B%7D%F7iK%3C%EE%C1%E9~%A4%F0A%0E7%A6%C7%DD%C7%12%15%EEMg%05%B2Y%F6F%C7%DE%5Bw~r%24%03%F5%00k%B9K%BDP%DE%E2%C7%17%F1%A8a%D9n%15%1EU%1AY%90Md%98%10%93fP%D2%B0%05%8F%EE%17F%ED%9B3%C8IcH%E9%1FE%FC%EF%3F%F6%7Fi3%17%07%A2%8B%EF%F9R%5Cu%D2%FF%A6%16%88%1D%D4%B5%B9V%E7y%B1%0BZ~%C1%95%F6%18%B3y%95%9AM%24%CC%E5%C9p%27S%BD%FF%D3O3%0E%BE%0CD%CBwLg%A6%1EL%DF%D80E%03M%3D%B3%FA%F4%AD%ED%DE%D3%E3.%A0%A5I%9C%E1%20%AA%FB%95%F1%7B%F1%DB%3B%203%13E%26_%9C%97%F6%E2%14%BA%1B%EC%A4%BE~%2AQ%7B%22%8C.%BE%AC%F6v%B2%A3%E8%C3d%909%01%0BC%B5f%AE%16%F6CK%9F%28v%F1f%94%F4%AA%97%5C%FDCN%7C%ADf%F91%29%E5%A8%F9%0DP%DA%9B%28%BC%A9%E1%E8%0B%BD%29%E4%98%83%9C%97%91%E2%1A9%EF%10%15%2F%CBbE%7B%A6%7D%FCa%85%2C%08%00%2A%DB%F5%2C/%808P%60%AA%F4%B2%24/35=%00%00%01~pE%E9%DA/33=%00"
"6","1642561137.118318000","172.17.0.10","172.17.0.15","UDP (NDN)","833","Data /localhop/ndn/nlsr/sync/35=%0A/x%DAc%60%40%01L%5D%D9%86%8C%8F%14%95%9F3%10%07%18%D9%1B%8C%82%CF%A7o%FC%0AbO%90%08%D8%D2%BB%E1%F2%27%909%939%AE%A6%A5%BE%7B%E7%00%12o%8F%08%8A%11%AD%9F%3A%09%9F96%9D%82%13%B6%5D%2F%F9%05b%9F%5B%5B%2Cx%E4%F5%3Eyt5f%AE%AE%16%D2%8E%DA%27%18H%07%8C%EF%FD%3A%EBT%AEn%99%0Fb%7B%5EX%DE%B9y%BD%F0%1C%90%3B%AF%CA%BF_%B9%9B%2Bj1%90%CD%ECu%DE%E8%E3%9F%07%DE%29%E8z%B9%247%06%AD%AA%BB%7F%15%9F%F9%EB%13%A6%9D%7BZ%B82%01%C4%5E%EE%7F%B5cb%7F%D5v45LS%F5%D6%F7%3CN%FF%A3%0BR%F3%F6E%A4%93%ED%7F%97%5E%10%BB%20q%93l%C5y_%26t3%EF.x%E0%93Xv%27%12%C4%0Ei%3E%BA%F8NV%60%27%1E70%D9%18%0A%2F%3D%98%D5%22%09b%3B%F7M%FF%3B%7D%F7iK%3C%EE%C1%E9~%A4%F0A%0E7%A6%C7%DD%C7%12%15%EEMg%05%B2Y%F6F%C7%DE%5Bw~r%24%03%F5%00k%B9K%BDP%DE%E2%C7%17%F1%A8a%D9n%15%1EU%1AY%90Md%98%10%93fP%D2%B0%05%8F%EE%17F%ED%9B3%C8IcH%E9%1FE%FC%EF%3F%F6%7Fi3%17%07%A2%8B%EF%F9R%5Cu%D2%FF%A6%16%88%1D%D4%B5%B9V%E7y%B1%0BZ~%C1%95%F6%18%B3y%95%9AM%24%CC%E5%C9p%27S%BD%FF%D3O3%0E%BE%0CD%CBwLg%A6%1EL%DF%D80E%03M%3D%B3%FA%F4%AD%ED%DE%D3%E3.%A0%A5I%9C%E1%20%AA%FB%95%F1%7B%F1%DB%3B%203%13E%26_%9C%97%F6%E2%14%BA%1B%EC%A4%BE~%2AQ%7B%22%8C.%BE%AC%F6v%B2%A3%E8%C3d%909%01%0BC%B5f%AE%16%F6CK%9F%28v%F1f%94%F4%AA%97%5C%FDCN%7C%ADf%F91%29%E5%A8%F9%0DP%DA%9B%28%BC%A9%E1%E8%0B%BD%29%E4%98%83%9C%97%91%E2%1A9%EF%10%15%2F%CBbE%7B%A6%7D%FCa%85%2C%08%00%2A%DB%F5%2C/%808P%60%AA%F4%B2%24/35=%00%00%01~pE%E9%DA/33=%00"
"7","1642561137.118954000","172.17.0.7","172.17.0.10","UDP (NDN)","122","Interest /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/router3/NAME/%02"
"8","1642561137.119261000","172.17.0.10","172.17.0.7","UDP (NDN)","122","Interest /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/router3/NAME/%02"
"9","1642561137.119298000","172.17.0.10","172.17.0.15","UDP (NDN)","122","Interest /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/router3/NAME/%02"
"10","1642561137.119372000","172.17.0.7","172.17.0.10","UDP (NDN)","607","Interest /localhop/ndn/nlsr/sync/35=%0A/x%DAc%60%40%01L%5D%D9%86%8C%8F%14%95%9F3%10%07%18%D9%1B%8C%82%CF%A7o%FC%0AbO%90%08%D8%D2%BB%E1%F2%27%909%939%AE%A6%A5%BE%7B%E7%00%12o%8F%08%8A%11%AD%9F%3A%09%9F96%9D%82%13%B6%5D%2F%F9%05b%9F%5B%5B%2Cx%E4%F5%3Eyb%DD%90%F6%F9%AB%B0%EF%A4%C2t%7Cj%DE%FBu%D6%A9%5C%DD2%1F%C4%F6%BC%B0%BCs%F3z%E19%20w%5E%95%7F%BFr7W%D4b%20%9B%D9%EB%BC%D1%C7%3F%0F%BCS%D0%F5rIn%0CZUw%FF%2A%3E%F3%D7%27L%3B%F7%B4pe%02%88%BD%DC%FFj%C7%C4%FE%AA%EDhj%98%A6%EA%AD%EFy%9C%FEG%17%A4%E6%ED%8BH%27%DB%FF.%BD%20vA%E2%26%D9%8A%F3%BEL%E8f%DE%5D%F0%C0%27%B1%ECN%24%88%1D%D2%7Ct%F1%9D%AC%C0N%3Cn%60%B21%14%5Ez0%ABE%12%C4v%EE%9B%FEw%FA%EE%D3%96x%DC%83%D3%FDH%E1%83%1CnL%8F%BB%8F%25%2A%DC%9B%CE%0Ad%B3%EC%8D%8E%BD%B7%EE%FC%E4H%06%EA%01%D6r%97z%A1%BC%C5%8F%2F%E2Q%C3%B2%DD%2A%3C%AA4%B2%20%1B-L%88I%03D%A5a%0B%1E%DD%2F%8C%DA7g%90c%0ER%FAG%11%FF%FB%8F%FD_%DA%CC%C5%81%E8%E2%7B%BE%14W%9D%F4%BF%A9%05b%07um%AE%D5y%5E%EC%82%96_p%A5%3D%C6l%5E%A5f%13%09sy2%F2%02S%BD%FF%D3O3%0E%BE%0CD%CBwLg%A6%1EL%DF%D80E%03M%3D%B3%FA%F4%AD%ED%DE%D3%E3.%A0%A5I%9C%E1%20%AA%FB%95%F1%7B%F1%DB%3B%203%13E%26_%9C%97%F6%E2%14%BA%1B%EC%A4%BE~%2AQ%7B%22%8C.%BE%AC%F6v%B2%A3%E8%C3d%909%01%0BC%B5f%AE%16%F6CK%9F%28v%F1f%94%F4%AA%97%5C%FDCN%7C%ADf%F91%29%E5%A8%F9%0DP%DA%9B%28%BC%A9%E1%E8%0B%BD%29%E4%98%83%9C%97%91%E2%1A9%EF%90%9D~%00%87%A3%FD7"
