"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"sum0",9792,1204,1134,355,317,2296,1203,2131,1152,1552,13,3283,2396369,1392781,1003588
"sum1",10413,1190,1126,352,312,2477,1336,2342,1278,1502,11,3620,2650799,1535546,1115253
"sum2",10447,1191,1126,351,309,2507,1338,2347,1278,1432,17,3625,2650217,1536045,1114172
"sum3",11139,1184,1122,348,312,2664,1485,2590,1434,1472,11,4024,2935223,1689174,1246049
"sum4",11934,1189,1126,345,305,2994,1642,2787,1546,1431,11,4333,3156398,1814903,1341495
"sum5",11696,1189,1126,342,305,2891,1586,2741,1516,1338,6,4257,3108071,1790005,1318066
"sum6",11818,1177,1118,343,306,2881,1626,2809,1558,1412,11,4367,3204680,1844031,1360649
"sum7",12613,1183,1122,354,310,3149,1765,3046,1684,1467,12,4730,3408626,1960302,1448324
"sum8",12200,1179,1118,341,305,3056,1702,2899,1600,1264,17,4499,3283361,1892532,1390829
"sum9",12801,1178,1118,342,305,3252,1822,3069,1715,1286,11,4784,3475534,1991610,1483924
"sum10",13046,1180,1120,369,324,3178,1847,3232,1796,1401,11,5028,3674126,2112094,1562032
