"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1759","500","500","30","30","214","105","313","66","1","1759"
"nlsr1","4444","1000","1000","90","90","640","393","1038","192","1","4444"
"nlsr2","3474","560","560","87","87","637","389","995","158","1","3474"
"nlsr3","1692","0","0","59","58","424","288","744","118","1","1692"
"nlsr4","2358","56","56","88","88","631","319","942","176","2","2358"
"nlsr5","2441","64","64","86","86","640","380","975","144","2","2441"
"nlsr6","2590","0","0","89","88","634","482","1135","160","2","2590"
"nlsr7","1533","26","26","57","57","420","214","628","104","1","1533"
"nlsr8","1567","30","30","57","57","410","212","626","144","1","1567"
"nlsr9","1546","36","36","56","56","415","215","627","104","1","1546"
"nlsr10","2543","28","28","86","85","635","458","1058","164","1","2543"
"nlsr11","1718","0","0","59","59","419","321","765","94","1","1718"
"nlsr12","1514","26","26","59","59","408","212","626","96","2","1514"
"nlsr13","1529","30","30","59","59","380","210","628","132","1","1529"
"nlsr14","1537","36","36","58","58","377","209","627","134","2","1537"
"nlsr15","2434","28","28","86","86","608","413","1038","146","1","2434"
"sum","34679","2420","2420","1106","1103","7892","4820","12765","2132","21","34679"
