"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1966","500","500","27","27","286","138","419","68","1","1966"
"nlsr1","4877","1000","1000","85","85","838","427","1257","184","1","4877"
"nlsr2","3464","316","316","85","85","807","431","1257","166","1","3464"
"nlsr3","2392","244","244","57","57","558","290","841","100","1","2392"
"nlsr4","1968","34","34","55","54","550","286","838","116","1","1968"
"nlsr5","1950","30","30","54","54","547","284","838","112","1","1950"
"nlsr6","2964","56","56","81","81","856","428","1259","146","1","2964"
"nlsr7","1982","34","34","53","53","557","281","835","134","1","1982"
"nlsr8","1944","30","30","54","54","542","281","836","116","1","1944"
"nlsr9","1957","28","28","54","54","568","280","838","106","1","1957"
"nlsr10","1977","28","28","55","54","574","283","838","116","1","1977"
"sum","27441","2300","2300","660","658","6683","3409","10056","1364","11","27441"
