"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","2007","500","500","27","27","307","147","441","56","2","2007"
"nlsr1","5017","1000","1000","83","83","901","459","1332","158","1","5017"
"nlsr2","3576","306","306","81","81","867","459","1331","144","1","3576"
"nlsr3","2503","254","254","54","54","584","314","885","102","2","2503"
"nlsr4","2045","34","34","54","54","575","304","885","104","1","2045"
"nlsr5","2039","28","28","54","54","585","302","888","98","2","2039"
"nlsr6","3093","58","58","81","81","866","465","1333","150","1","3093"
"nlsr7","2053","34","34","55","55","573","301","888","112","1","2053"
"nlsr8","2027","28","28","54","54","578","300","887","96","2","2027"
"nlsr9","2021","32","32","54","54","562","301","887","98","1","2021"
"nlsr10","2045","26","26","54","54","579","302","889","114","1","2045"
"sum","28426","2300","2300","651","651","6977","3654","10646","1232","15","28426"
