"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","828","500","0","9","18","154","0","147","0","56","2","147","95569","95569","0"
"nlsr1","2590","500","500","55","28","462","305","444","296","158","1","740","544994","288618","256376"
"nlsr2","1875","31","275","45","36","420","316","444","308","144","1","752","555335","288618","266717"
"nlsr3","1212","29","225","27","27","288","164","295","157","102","2","452","327780","191775","136005"
"nlsr4","988","17","17","27","27","290","160","294","156","104","1","450","326239","191138","135101"
"nlsr5","984","14","14","27","27","296","157","296","153","98","2","449","324900","192412","132488"
"nlsr6","1634","29","29","45","36","429","315","444","307","150","1","751","554582","288618","265964"
"nlsr7","992","17","17","28","27","292","159","296","156","112","1","452","327507","192412","135095"
"nlsr8","982","14","14","27","27","298","153","296","153","96","2","449","324898","192412","132486"
"nlsr9","983","16","16","27","27","288","158","296","155","98","1","451","326692","192412","134280"
"nlsr10","982","13","13","27","27","298","156","296","152","114","1","448","324083","192412","131671"
"sum","14050","1180","1120","344","307","3515","2043","3548","1993","1232","15","5541","4032579","2306396","1726183"
