"name","LSA_interest0","LSA_interest1","LSA_interest2","LSA_interest3","LSA_interest4","LSA_interest5","LSA_interest6","LSA_interest7","LSA_interest8","LSA_interest9","LSA_interest10"
"nlsr_pc",222,237,249,249,281,294,280,305,289,307,315
"nlsr1",672,706,740,746,818,857,842,888,848,901,927
"nlsr2",671,701,732,749,794,841,837,861,846,867,900
"nlsr3",443,457,481,481,537,548,557,570,545,584,593
"nlsr4",451,465,476,485,525,566,559,574,578,575,595
"nlsr5",425,456,487,491,538,554,554,563,557,585,598
"nlsr6",640,662,715,718,795,792,841,833,807,866,880
"nlsr7",428,449,454,473,514,559,539,561,566,573,584
"nlsr8",390,428,465,455,517,545,529,540,539,578,586
"nlsr9",394,415,453,448,508,505,552,549,534,562,583
"nlsr10",416,429,467,473,523,518,560,545,534,579,585
"sum",5152,5405,5719,5768,6350,6579,6650,6789,6643,6977,7146
"ave",468.363636363636,491.363636363636,519.909090909091,524.363636363636,577.272727272727,598.090909090909,604.545454545455,617.181818181818,603.909090909091,634.272727272727,649.636363636364
"r_sum",4930,5168,5470,5519,6069,6285,6370,6484,6354,6670,6831
"r_ave",493,516.8,547,551.9,606.9,628.5,637,648.4,635.4,667,683.1
"r_sum1-6",3302,3447,3631,3670,4007,4158,4190,4289,4181,4378,4493
"r_ave1-6",550.333333333333,574.5,605.166666666667,611.666666666667,667.833333333333,693,698.333333333333,714.833333333333,696.833333333333,729.666666666667,748.833333333333
"r_sum7-10",1628,1721,1839,1849,2062,2127,2180,2195,2173,2292,2338
"r_ave7-10",407,430.25,459.75,462.25,515.5,531.75,545,548.75,543.25,573,584.5
