"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5","LSA_data6","LSA_data7","LSA_data8","LSA_data9","LSA_data10"
"nlsr_pc",106,109,114,118,133,136,134,141,139,147,152
"nlsr1",327,337,363,375,418,429,425,437,439,459,467
"nlsr2",327,356,364,378,419,428,423,444,444,459,462
"nlsr3",218,224,246,251,283,289,294,295,292,314,318
"nlsr4",221,234,236,242,269,286,275,297,293,304,310
"nlsr5",218,234,243,245,274,279,279,291,289,302,309
"nlsr6",330,340,370,373,420,424,437,432,425,465,472
"nlsr7",217,227,234,239,264,287,273,292,296,301,307
"nlsr8",217,229,237,239,264,279,275,287,280,300,306
"nlsr9",219,225,242,243,268,270,288,283,285,301,311
"nlsr10",214,225,240,244,276,276,285,284,277,302,309
"sum",2614,2740,2889,2947,3288,3383,3388,3483,3459,3654,3723
"ave",237.636363636364,249.090909090909,262.636363636364,267.909090909091,298.909090909091,307.545454545455,308,316.636363636364,314.454545454545,332.181818181818,338.454545454545
"r_sum",2508,2631,2775,2829,3155,3247,3254,3342,3320,3507,3571
"r_ave",250.8,263.1,277.5,282.9,315.5,324.7,325.4,334.2,332,350.7,357.1
"r_sum1-6",1641,1725,1822,1864,2083,2135,2133,2196,2182,2303,2338
"r_ave1-6",273.5,287.5,303.666666666667,310.666666666667,347.166666666667,355.833333333333,355.5,366,363.666666666667,383.833333333333,389.666666666667
"r_sum7-10",867,906,953,965,1072,1112,1121,1146,1138,1204,1233
"r_ave7-10",216.75,226.5,238.25,241.25,268,278,280.25,286.5,284.5,301,308.25
