"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5","LSA_data6","LSA_data7","LSA_data8","LSA_data9","LSA_data10"
"nlsr_pc",88,98,97,109,119,115,116,128,123,131,135
"nlsr1",282,310,305,346,378,364,365,388,387,407,412
"nlsr2",287,309,306,350,377,366,369,397,394,414,415
"nlsr3",191,207,214,229,254,241,245,263,262,276,277
"nlsr4",189,205,197,229,249,244,246,267,258,275,278
"nlsr5",184,205,202,221,251,243,243,268,257,272,272
"nlsr6",274,303,317,334,369,358,379,411,389,425,426
"nlsr7",183,204,199,224,243,236,241,265,253,269,277
"nlsr8",181,202,203,217,251,240,244,265,253,262,271
"nlsr9",178,204,202,221,243,241,244,264,250,277,279
"nlsr10",178,197,202,220,241,230,250,266,253,279,277
"sum",2215,2444,2444,2700,2975,2878,2942,3182,3079,3287,3319
"ave",201.363636363636,222.181818181818,222.181818181818,245.454545454545,270.454545454545,261.636363636364,267.454545454545,289.272727272727,279.909090909091,298.818181818182,301.727272727273
"r_sum",2127,2346,2347,2591,2856,2763,2826,3054,2956,3156,3184
"r_ave",212.7,234.6,234.7,259.1,285.6,276.3,282.6,305.4,295.6,315.6,318.4
"r_sum1-6",1407,1539,1541,1709,1878,1816,1847,1994,1947,2069,2080
"r_ave1-6",234.5,256.5,256.833333333333,284.833333333333,313,302.666666666667,307.833333333333,332.333333333333,324.5,344.833333333333,346.666666666667
"r_sum7-10",720,807,806,882,978,947,979,1060,1009,1087,1104
"r_ave7-10",180,201.75,201.5,220.5,244.5,236.75,244.75,265,252.25,271.75,276
