"name","LSA_interest0","LSA_interest1","LSA_interest2","LSA_interest3","LSA_interest4","LSA_interest5","LSA_interest6","LSA_interest7","LSA_interest8","LSA_interest9","LSA_interest10"
"nlsr_pc",194,211,209,226,261,252,249,283,271,284,274
"nlsr1",576,628,633,662,769,731,733,821,786,831,800
"nlsr2",587,612,627,665,754,702,710,792,774,784,775
"nlsr3",375,423,423,429,490,481,479,514,487,550,513
"nlsr4",396,411,422,446,512,473,479,535,521,529,524
"nlsr5",391,405,406,456,498,473,472,519,517,520,526
"nlsr6",557,625,626,648,711,727,711,748,716,819,778
"nlsr7",379,404,406,439,506,463,474,526,520,528,530
"nlsr8",368,384,385,451,481,456,453,511,507,506,519
"nlsr9",350,396,398,408,459,475,453,485,464,534,514
"nlsr10",354,395,408,424,476,469,476,506,472,548,534
"sum",4527,4894,4943,5254,5917,5702,5689,6240,6035,6433,6287
"ave",411.545454545455,444.909090909091,449.363636363636,477.636363636364,537.909090909091,518.363636363636,517.181818181818,567.272727272727,548.636363636364,584.818181818182,571.545454545455
"r_sum",4333,4683,4734,5028,5656,5450,5440,5957,5764,6149,6013
"r_ave",433.3,468.3,473.4,502.8,565.6,545,544,595.7,576.4,614.9,601.3
"r_sum1-6",2882,3104,3137,3306,3734,3587,3584,3929,3801,4033,3916
"r_ave1-6",480.333333333333,517.333333333333,522.833333333333,551,622.333333333333,597.833333333333,597.333333333333,654.833333333333,633.5,672.166666666667,652.666666666667
"r_sum7-10",1451,1579,1597,1722,1922,1863,1856,2028,1963,2116,2097
"r_ave7-10",362.75,394.75,399.25,430.5,480.5,465.75,464,507,490.75,529,524.25
