"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"sum0",10610,1183,1122,363,320,2520,1363,2419,1320,1401,12,3739,2709345,1567381,1141964
"sum1",10680,1186,1124,354,314,2521,1387,2446,1348,1482,22,3794,2758446,1589816,1168630
"sum2",11628,1180,1120,355,315,2820,1572,2748,1518,1520,14,4266,3137581,1809353,1328228
"sum3",11179,1184,1122,349,309,2685,1505,2593,1432,1482,14,4025,2996476,1730745,1265731
"sum4",11770,1189,1126,344,309,2869,1604,2789,1540,1540,16,4329,3170069,1827354,1342715
"sum5",12617,1183,1122,340,306,3118,1759,3077,1712,1348,11,4789,3481685,1999170,1482515
"sum6",12410,1180,1120,342,306,3095,1725,2986,1656,1519,12,4642,3374668,1939938,1434730
"sum7",13580,1181,1120,340,304,3437,1993,3339,1866,1492,21,5205,3780784,2166435,1614349
"sum8",13186,1180,1120,341,304,3302,1874,3250,1815,1344,11,5065,3733038,2143692,1589346
"sum9",13696,1180,1120,353,312,3420,1993,3407,1911,1412,22,5318,3848496,2200922,1647574
"sum10",13791,1180,1120,345,308,3483,1994,3439,1922,1601,17,5361,3906010,2239327,1666683
