"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1833","500","500","26","26","261","119","348","52","1","1833"
"nlsr1","4541","1000","1000","85","84","769","378","1050","174","1","4541"
"nlsr2","3119","295","295","82","81","754","377","1050","184","1","3119"
"nlsr3","2200","268","268","54","54","490","254","699","112","1","2200"
"nlsr4","1773","32","32","54","54","512","249","695","144","1","1773"
"nlsr5","1730","30","30","54","54","498","251","696","116","1","1730"
"nlsr6","2578","64","64","81","81","711","369","1045","162","1","2578"
"nlsr7","1761","32","32","54","54","506","243","696","143","1","1761"
"nlsr8","1711","30","30","54","54","481","251","694","116","1","1711"
"nlsr9","1683","32","32","54","54","459","243","696","112","1","1683"
"nlsr10","1700","32","32","54","54","476","241","694","116","1","1700"
"sum","24629","2315","2315","652","650","5917","2975","8363","1431","11","24629"
