"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1823","500","500","27","27","249","118","345","56","1","1823"
"nlsr1","4529","1000","1000","81","81","746","375","1051","194","1","4529"
"nlsr2","3116","304","304","81","81","749","378","1054","164","1","3116"
"nlsr3","2202","256","256","54","54","481","251","699","150","1","2202"
"nlsr4","1706","32","32","55","55","485","242","702","102","1","1706"
"nlsr5","1719","32","32","56","56","491","245","702","104","1","1719"
"nlsr6","2627","56","56","84","83","718","373","1050","206","1","2627"
"nlsr7","1681","32","32","54","54","473","239","701","94","2","1681"
"nlsr8","1667","32","32","54","54","455","239","698","102","1","1667"
"nlsr9","1683","28","28","53","52","448","243","696","134","1","1683"
"nlsr10","1704","28","28","54","52","473","244","696","128","1","1704"
"sum","24457","2300","2300","653","649","5768","2947","8394","1434","12","24457"
