"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1931","500","500","27","27","281","133","386","76","1","1931"
"nlsr1","4792","1000","1000","85","85","818","418","1167","218","1","4792"
"nlsr2","3336","295","295","84","83","794","419","1167","198","1","3336"
"nlsr3","2371","265","265","57","57","537","283","778","128","1","2371"
"nlsr4","1886","34","34","56","56","525","269","777","134","1","1886"
"nlsr5","1884","32","32","56","55","538","274","778","118","1","1884"
"nlsr6","2813","54","54","81","81","795","420","1167","160","1","2813"
"nlsr7","1858","34","34","54","54","514","264","775","128","1","1858"
"nlsr8","1849","32","32","53","53","517","264","778","119","1","1849"
"nlsr9","1822","30","30","54","54","508","268","777","100","1","1822"
"nlsr10","1848","24","24","53","53","523","276","778","116","1","1848"
"sum","26390","2300","2300","660","658","6350","3288","9328","1495","11","26390"
