"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"sum0",10321,1196,1130,347,311,2443,1316,2314,1264,1536,22,3578,2609802,1510068,1099734
"sum1",10408,1186,1122,342,305,2497,1328,2350,1278,1296,13,3628,2621270,1517982,1103288
"sum2",11185,1190,1126,350,314,2693,1493,2587,1432,1296,11,4019,2925661,1683394,1242267
"sum3",11355,1192,1128,346,309,2789,1524,2621,1446,1382,16,4067,2961977,1706732,1255245
"sum4",11934,1196,1130,345,305,2922,1623,2841,1572,1286,17,4413,3209235,1846917,1362318
"sum5",12316,1189,1126,344,308,3041,1729,2951,1628,1417,11,4579,3331310,1919729,1411581
"sum6",12422,1183,1122,345,308,3058,1732,3002,1672,1535,17,4674,3376765,1936280,1440485
"sum7",12418,1180,1120,354,318,3025,1727,3021,1673,1446,11,4694,3429055,1973737,1455318
"sum8",12689,1180,1120,357,314,3120,1787,3094,1717,1378,13,4811,3515254,2021324,1493930
"sum9",13084,1180,1120,355,316,3244,1845,3226,1798,1444,13,5024,3647379,2092170,1555209
"sum10",13459,1180,1120,348,311,3353,1928,3353,1866,1376,12,5219,3781347,2170247,1611100
