"","No.","Time","Source","Destination","Protocol","Length","Info"
"5",5,1634005790.33035,"172.17.0.2","172.17.0.3","UDP (NDN)",866,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%07/35=%00%00%01%7CrT%60%10/33=%00"
"100",100,1634005816.70067,"172.17.0.2","172.17.0.12","UDP (NDN)",902,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%08/35=%00%00%01%7CrV%11%92/33=%00"
"116",116,1634005820.63985,"172.17.0.2","172.17.0.3","UDP (NDN)",902,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%08/35=%00%00%01%7CrV%11%92/33=%00"
"138",138,1634005821.26171,"172.17.0.2","172.17.0.4","UDP (NDN)",824,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%08/35=%00%00%01%7CrV%27F/33=%00"
"139",139,1634005821.26177,"172.17.0.2","172.17.0.12","UDP (NDN)",824,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%08/35=%00%00%01%7CrV%27F/33=%00"
"176",176,1634005824.8064,"172.17.0.2","172.17.0.4","UDP (NDN)",805,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%08/35=%00%00%01%7CrV5%21/33=%00"
"177",177,1634005824.80647,"172.17.0.2","172.17.0.12","UDP (NDN)",805,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%08/35=%00%00%01%7CrV5%21/33=%00"
"206",206,1634005828.57996,"172.17.0.2","172.17.0.4","UDP (NDN)",858,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%09/35=%00%00%01%7CrVC%E0/33=%00"
"207",207,1634005828.58011,"172.17.0.2","172.17.0.12","UDP (NDN)",858,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%09/35=%00%00%01%7CrVC%E0/33=%00"
"260",260,1634005837.87729,"172.17.0.2","172.17.0.4","UDP (NDN)",823,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%0A/35=%00%00%01%7CrVh./33=%00"
"261",261,1634005837.8774,"172.17.0.2","172.17.0.12","UDP (NDN)",823,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%0A/35=%00%00%01%7CrVh./33=%00"
"298",298,1634005841.64379,"172.17.0.2","172.17.0.3","UDP (NDN)",884,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%08/35=%00%00%01%7CrVv%E7/33=%00"
