"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1729","499","499","27","27","211","98","291","76","1","1729"
"nlsr1","4206","998","998","85","85","628","310","877","224","1","4206"
"nlsr2","2701","270","270","87","87","612","309","879","186","1","2701"
"nlsr3","2052","293","293","57","57","423","207","583","138","1","2052"
"nlsr4","1463","24","24","57","57","411","205","586","98","1","1463"
"nlsr5","1499","42","42","54","54","405","205","586","110","1","1499"
"nlsr6","2284","62","62","81","81","625","303","873","196","1","2284"
"nlsr7","1437","24","24","54","54","404","204","586","86","1","1437"
"nlsr8","1486","42","42","55","54","384","202","586","120","1","1486"
"nlsr9","1491","30","30","54","54","396","204","582","140","1","1491"
"nlsr10","1476","32","32","55","54","395","197","582","128","1","1476"
"sum","21824","2316","2316","666","664","4894","2444","7011","1502","11","21824"
