"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1975","500","500","27","27","288","139","417","76","1","1975"
"nlsr1","5073","1000","1000","89","89","854","478","1334","228","1","5073"
"nlsr2","3853","412","412","86","86","830","487","1321","218","1","3853"
"nlsr3","2438","149","149","57","57","566","373","953","132","2","2438"
"nlsr4","2978","62","62","82","82","817","440","1259","172","2","2978"
"nlsr5","3107","32","32","85","85","838","492","1328","214","1","3107"
"nlsr6","3404","28","28","82","82","844","649","1522","168","1","3404"
"nlsr7","1966","30","30","55","55","553","287","836","118","2","1966"
"nlsr8","1959","32","32","56","56","540","285","841","116","1","1959"
"nlsr9","1978","30","30","56","56","555","283","832","134","2","1978"
"nlsr10","3257","11","11","83","83","837","613","1444","174","1","3257"
"nlsr11","2275","18","18","56","56","567","443","1020","96","1","2275"
"nlsr12","1939","30","30","56","56","539","281","832","114","1","1939"
"nlsr13","1929","32","32","55","55","521","277","833","122","2","1929"
"nlsr14","1937","30","30","56","55","532","281","834","118","1","1937"
"nlsr15","3177","28","28","81","81","827","577","1394","160","1","3177"
"sum","43245","2424","2424","1062","1061","10508","6385","17000","2360","21","43245"
