"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5","LSA_data6","LSA_data7","LSA_data8","LSA_data9","LSA_data10"
"nlsr_pc",1,1.05714285714286,1.11428571428571,1.2,1.2,1.36190476190476,1.32380952380952,1.46666666666667,1.53333333333333,1.64761904761905,1.68571428571429
"nlsr1",1,1.0381679389313,1.0559796437659,1.20101781170483,1.07888040712468,1.26972010178117,1.21628498727735,1.36386768447837,1.46055979643766,1.52417302798982,1.55216284987277
"nlsr2",1,1.0025706940874,1.04884318766067,1.19537275064267,1.10025706940874,1.26478149100257,1.25192802056555,1.42416452442159,1.45244215938303,1.46529562982005,1.58097686375321
"nlsr3",1,1.11458333333333,1.18402777777778,1.22569444444444,1.15277777777778,1.375,1.29513888888889,1.47916666666667,1.57986111111111,1.63888888888889,1.72916666666667
"nlsr4",1,1.07523510971787,1.12852664576802,1.23197492163009,1.20062695924765,1.39811912225705,1.37931034482759,1.5423197492163,1.58620689655172,1.61755485893417,1.74921630094044
"nlsr5",1,1.03947368421053,1.10263157894737,1.19210526315789,1.18947368421053,1.38947368421053,1.29473684210526,1.56315789473684,1.53684210526316,1.59736842105263,1.66315789473684
"nlsr6",1,1.149377593361,1.1804979253112,1.2448132780083,1.20746887966805,1.39211618257261,1.34647302904564,1.51867219917012,1.5643153526971,1.62655601659751,1.73236514522822
"nlsr7",1,1.05607476635514,1.11214953271028,1.19626168224299,1.18691588785047,1.36915887850467,1.3411214953271,1.48598130841122,1.55607476635514,1.58878504672897,1.67289719626168
"nlsr8",1,1.08490566037736,1.12735849056604,1.23584905660377,1.19339622641509,1.39622641509434,1.34433962264151,1.52830188679245,1.55660377358491,1.65094339622642,1.7122641509434
"nlsr9",1,1.06511627906977,1.13023255813953,1.2046511627907,1.18139534883721,1.35813953488372,1.31627906976744,1.48372093023256,1.5906976744186,1.62325581395349,1.68837209302326
"nlsr10",1,1.05676855895197,1.12008733624454,1.22489082969432,1.1943231441048,1.47161572052402,1.33842794759825,1.58296943231441,1.55021834061135,1.69213973799127,1.67685589519651
"nlsr11",1,1.12461059190031,1.16199376947041,1.26791277258567,1.18691588785047,1.3613707165109,1.38006230529595,1.51401869158878,1.601246105919,1.66666666666667,1.70404984423676
"nlsr12",1,1.04716981132075,1.12264150943396,1.19339622641509,1.2122641509434,1.35849056603774,1.32547169811321,1.4622641509434,1.53301886792453,1.60377358490566,1.65566037735849
"nlsr13",1,1.07142857142857,1.12857142857143,1.21428571428571,1.18571428571429,1.38571428571429,1.31904761904762,1.4952380952381,1.52857142857143,1.63333333333333,1.68571428571429
"nlsr14",1,1.08133971291866,1.14354066985646,1.23444976076555,1.19138755980861,1.38277511961722,1.3444976076555,1.49760765550239,1.56937799043062,1.64593301435407,1.69856459330144
"nlsr15",1,1.04600484261501,1.13559322033898,1.25423728813559,1.17191283292978,1.43099273607748,1.39709443099274,1.54963680387409,1.60048426150121,1.73365617433414,1.68280871670702
"sum",1,1.06991701244813,1.12406639004149,1.22219917012448,1.17323651452282,1.3746887966805,1.3246887966805,1.50145228215768,1.54834024896266,1.62095435684647,1.67614107883817
"ave",1,1.06991701244813,1.12406639004149,1.22219917012448,1.17323651452282,1.3746887966805,1.3246887966805,1.50145228215768,1.54834024896266,1.62095435684647,1.67614107883817
"r_sum",1,1.07020148462354,1.12428419936373,1.22269353128314,1.17264050901379,1.37497348886532,1.32470837751856,1.50222693531283,1.54867444326617,1.6203605514316,1.67592788971368
"r_ave",1,1.07020148462354,1.12428419936373,1.22269353128314,1.17264050901379,1.37497348886532,1.32470837751856,1.50222693531283,1.54867444326617,1.6203605514316,1.67592788971368
"r_sum1-6",1,1.07107952021324,1.11594846734785,1.21545979564638,1.15548645046646,1.34695690804087,1.29675699689027,1.48111950244336,1.52732119058196,1.57618836072857,1.66503776099511
"r_ave1-6",1,1.07107952021324,1.11594846734785,1.21545979564638,1.15548645046646,1.34695690804087,1.29675699689027,1.48111950244336,1.52732119058196,1.57618836072857,1.66503776099511
"r_sum7-10",1,1.06369426751592,1.12192902638763,1.21747042766151,1.1901728844404,1.41492265696087,1.33575978161965,1.53412192902639,1.56050955414013,1.65059144676979,1.68516833484986
"r_ave7-10",1,1.06369426751592,1.12192902638763,1.21747042766151,1.1901728844404,1.41492265696087,1.33575978161965,1.53412192902639,1.56050955414013,1.65059144676979,1.68516833484986
