"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","773","498","0","9","18","127","1","120","0","56","2","120","79318","79318","0"
"nlsr1","2327","498","498","56","28","384","260","363","240","170","2","603","450513","239871","210642"
"nlsr2","1605","32","266","47","38","345","263","363","251","178","2","614","460139","239871","220268"
"nlsr3","1072","29","232","27","28","254","136","242","124","126","2","366","268744","159914","108830"
"nlsr4","836","19","19","29","28","246","130","242","123","136","2","365","267876","159914","107962"
"nlsr5","822","13","13","29","28","254","125","240","120","108","2","360","263957","158636","105321"
"nlsr6","1370","29","29","45","36","366","256","363","246","198","2","609","455760","239871","215889"
"nlsr7","837","19","19","27","27","246","131","242","126","130","2","368","270509","159914","110595"
"nlsr8","820","13","13","27","27","252","125","242","121","110","2","363","266098","159914","106184"
"nlsr9","815","13","13","27","26","242","128","242","124","130","2","366","268713","159914","108799"
"nlsr10","823","16","16","27","26","244","127","242","125","130","2","367","269611","159914","109697"
"sum","12100","1179","1118","350","310","2960","1682","2901","1600","1472","22","4501","3321238","1917051","1404187"
