"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","1670","496","496","30","30","198","95","264","60","1","1670","222508"
"nlsr1","4139","992","992","90","90","593","343","864","174","1","4139","737302"
"nlsr2","3197","556","556","88","88","583","334","835","156","1","3197","708701"
"nlsr3","1538","0","0","58","58","397","273","637","114","1","1538","551757"
"nlsr4","2105","58","58","88","86","570","294","798","152","1","2105","672126"
"nlsr5","2211","62","62","86","86","582","335","833","164","1","2211","706693"
"nlsr6","2336","0","0","86","86","583","436","988","156","1","2336","859860"
"nlsr7","1390","28","28","56","56","377","196","532","116","1","1390","448084"
"nlsr8","1379","30","30","57","56","371","186","528","120","1","1379","445016"
"nlsr9","1405","36","36","56","56","384","186","528","122","1","1405","445016"
"nlsr10","2269","26","26","86","86","573","415","908","148","1","2269","782028"
"nlsr11","1569","0","0","59","59","378","291","659","122","1","1569","574498"
"nlsr12","1383","28","28","59","59","361","189","528","130","1","1383","445016"
"nlsr13","1344","30","30","58","58","336","181","528","122","1","1344","445016"
"nlsr14","1382","36","36","57","57","359","184","528","124","1","1382","445016"
"nlsr15","2204","26","26","86","86","546","373","890","170","1","2204","764281"
"sum","31521","2404","2404","1100","1097","7191","4311","10848","2150","16","31521","9252918"
