"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","1670","496","0","10","20","99","3","88","0","60","1","88","67788","67788","0"
"nlsr1","4139","496","496","60","30","297","205","267","192","174","1","459","395340","205665","189675"
"nlsr2","3197","60","496","49","39","291","196","267","186","156","1","453","389453","205665","183788"
"nlsr3","1538","0","0","29","29","200","119","178","125","114","1","303","260527","137110","123417"
"nlsr4","2105","29","29","50","38","285","197","267","176","152","1","443","379529","205665","173864"
"nlsr5","2211","31","31","47","39","294","191","267","182","164","1","449","385443","205665","179778"
"nlsr6","2336","0","0","47","39","294","224","267","227","156","1","494","429936","205665","224271"
"nlsr7","1390","14","14","28","28","188","95","178","88","116","1","266","224042","137110","86932"
"nlsr8","1379","15","15","28","28","188","92","176","88","120","1","264","222508","135576","86932"
"nlsr9","1405","18","18","28","28","192","90","176","88","122","1","264","222508","135576","86932"
"nlsr10","2269","13","13","37","49","285","219","264","192","148","1","456","392998","203364","189634"
"nlsr11","1569","0","0","30","29","188","122","176","136","122","1","312","270008","135576","134432"
"nlsr12","1383","14","14","30","29","188","95","176","89","130","1","265","223501","135576","87925"
"nlsr13","1344","15","15","29","29","176","92","176","90","122","1","266","224508","135576","88932"
"nlsr14","1382","18","18","29","28","188","96","176","90","124","1","266","224497","135576","88921"
"nlsr15","2204","13","13","39","47","276","218","264","208","170","1","472","408769","203364","205405"
"sum","31521","1232","1172","570","529","3629","2254","3363","2157","2150","16","5520","4721355","2590517","2130838"
