"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","2030","500","0","10","18","160","1","145","0","62","1","145","93720","93720","0"
"nlsr1","5159","500","500","54","28","498","320","441","292","208","1","733","536726","284898","251828"
"nlsr2","3747","31","267","46","36","468","326","441","301","226","2","742","544451","284898","259553"
"nlsr3","2619","29","233","28","28","330","170","294","149","116","1","443","318436","189932","128504"
"nlsr4","2128","16","16","28","28","314","162","294","152","134","1","446","321082","189932","131150"
"nlsr5","2142","15","15","28","28","328","159","294","149","134","1","443","318437","189932","128505"
"nlsr6","3196","29","29","47","38","465","321","438","298","169","1","736","540002","283005","256997"
"nlsr7","2086","16","16","27","27","302","163","292","156","124","2","448","323198","188670","134528"
"nlsr8","2101","15","15","27","28","314","165","292","156","120","1","448","323227","188670","134557"
"nlsr9","2078","13","13","29","28","306","166","292","155","122","1","447","322329","188670","133659"
"nlsr10","2076","16","16","29","28","312","165","292","156","98","1","448","323193","188670","134523"
"sum","29362","1180","1120","353","315","3797","2118","3515","1964","1513","13","5479","3964801","2270997","1693804"
