"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","2030","500","500","28","28","325","151","435","62","1","2030","312507"
"nlsr1","5159","1000","1000","82","82","980","486","1320","208","1","5159","947538"
"nlsr2","3747","298","298","82","82","955","484","1320","226","2","3747","947538"
"nlsr3","2619","262","262","56","56","651","335","880","116","1","2619","631692"
"nlsr4","2128","32","32","56","56","621","316","880","134","1","2128","631692"
"nlsr5","2142","30","30","56","56","641","315","879","134","1","2142","631077"
"nlsr6","3196","58","58","85","85","939","487","1314","169","1","3196","943752"
"nlsr7","2086","32","32","54","54","606","306","876","124","2","2086","629168"
"nlsr8","2101","30","30","55","55","624","310","876","120","1","2101","629168"
"nlsr9","2078","26","26","57","57","605","309","875","122","1","2078","628553"
"nlsr10","2076","32","32","57","57","618","306","875","98","1","2076","628553"
"sum","29362","2300","2300","668","668","7565","3805","10530","1513","13","29362","7561238"
