"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1982","500","500","27","27","288","143","431","64","2","1982"
"nlsr1","5125","1000","1000","90","90","853","499","1386","206","1","5125"
"nlsr2","4191","560","560","90","90","806","492","1363","228","2","4191"
"nlsr3","2235","0","0","59","59","577","396","1005","138","1","2235"
"nlsr4","3113","66","66","90","90","819","446","1307","228","1","3113"
"nlsr5","3193","54","54","88","87","829","528","1375","176","2","3193"
"nlsr6","3474","0","0","86","86","863","671","1559","208","1","3474"
"nlsr7","2026","32","32","58","58","561","293","868","122","2","2026"
"nlsr8","2019","34","34","58","58","553","296","867","118","1","2019"
"nlsr9","2017","28","28","57","57","564","292","867","122","2","2017"
"nlsr10","3423","26","26","85","83","851","674","1503","174","1","3423"
"nlsr11","2289","0","0","55","55","572","437","1057","112","1","2289"
"nlsr12","1986","32","32","55","55","550","288","867","106","1","1986"
"nlsr13","1981","34","34","55","55","539","291","866","106","1","1981"
"nlsr14","1997","28","28","55","55","543","289","868","130","1","1997"
"nlsr15","3264","26","26","81","81","838","591","1471","148","2","3264"
"sum","44315","2420","2420","1089","1086","10606","6626","17660","2386","22","44315"
