"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"sum0",10485,1187,1124,341,307,2526,1389,2333,1278,1366,12,3611,2616846,1511552,1105294
"sum1",11290,1183,1122,344,309,2764,1522,2614,1432,1470,21,4046,2903707,1675024,1228683
"sum2",11597,1189,1126,355,314,2787,1575,2735,1516,1344,22,4251,3098832,1782584,1316248
"sum3",11670,1182,1120,342,305,2894,1583,2733,1511,1298,19,4244,3124935,1801630,1323305
"sum4",12013,1186,1124,346,309,2936,1650,2876,1586,1460,13,4462,3197056,1839100,1357956
"sum5",12389,1183,1122,352,312,3038,1728,2996,1658,1433,12,4654,3388418,1950335,1438083
"sum6",13199,1180,1120,356,314,3309,1891,3233,1796,1506,14,5029,3580988,2052167,1528821
"sum7",13053,1183,1122,353,313,3231,1863,3204,1784,1456,15,4988,3670595,2109944,1560651
"sum8",13585,1180,1120,342,305,3378,1961,3399,1900,1506,20,5299,3852854,2207932,1644922
"sum9",13820,1180,1120,352,313,3454,1991,3471,1939,1393,12,5410,3914526,2242599,1671927
"sum10",13830,1180,1120,343,306,3441,1991,3496,1953,1464,11,5449,3937141,2254875,1682266
