"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"sum0",10033,1190,1126,357,316,2327,1259,2236,1222,1362,11,3458,2484456,1434702,1049754
"sum1",10391,1193,1128,351,313,2422,1343,2349,1292,1389,11,3641,2659739,1535163,1124576
"sum2",10663,1178,1118,353,310,2522,1392,2442,1348,1340,14,3790,2766119,1593816,1172303
"sum3",11973,1186,1124,348,311,2904,1646,2866,1588,1330,28,4454,3233502,1859377,1374125
"sum4",11307,1183,1122,342,306,2731,1515,2648,1460,1502,14,4108,2998745,1728759,1269986
"sum5",12100,1179,1118,350,310,2960,1682,2901,1600,1472,22,4501,3321238,1917051,1404187
"sum6",11966,1183,1122,343,307,2945,1642,2852,1572,1348,11,4424,3227473,1861146,1366327
"sum7",12727,1183,1122,345,305,3169,1805,3080,1718,1434,11,4798,3489702,2001769,1487933
"sum8",13115,1180,1120,360,319,3287,1875,3192,1782,1468,14,4974,3596623,2060928,1535695
"sum9",13410,1180,1120,343,307,3317,1915,3358,1870,1566,22,5228,3767499,2160347,1607152
"sum10",13525,1180,1120,354,314,3375,1919,3379,1884,1558,11,5263,3786514,2169039,1617475
