"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1854","498","498","25","25","271","123","361","52","1","1854"
"nlsr1","4578","996","996","81","81","786","387","1085","164","2","4578"
"nlsr2","3107","271","271","81","81","774","394","1083","148","4","3107"
"nlsr3","2280","288","288","54","54","487","262","724","122","1","2280"
"nlsr4","1762","26","26","54","54","521","258","721","100","2","1762"
"nlsr5","1777","34","34","54","54","517","257","723","102","2","1777"
"nlsr6","2638","62","62","81","81","716","389","1086","160","1","2638"
"nlsr7","1748","26","26","54","54","520","253","722","92","1","1748"
"nlsr8","1777","34","34","54","54","507","253","724","116","1","1777"
"nlsr9","1711","28","28","54","54","464","250","722","110","1","1711"
"nlsr10","1724","34","34","54","54","472","253","724","98","1","1724"
"sum","24956","2297","2297","646","646","6035","3079","8675","1264","17","24956"
