"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5","LSA_data6","LSA_data7","LSA_data8","LSA_data9","LSA_data10"
"nlsr_pc",105,111,117,126,126,143,139,154,161,173,177
"nlsr1",393,408,415,472,424,499,478,536,574,599,610
"nlsr2",389,390,408,465,428,492,487,554,565,570,615
"nlsr3",288,321,341,353,332,396,373,426,455,472,498
"nlsr4",319,343,360,393,383,446,440,492,506,516,558
"nlsr5",380,395,419,453,452,528,492,594,584,607,632
"nlsr6",482,554,569,600,582,671,649,732,754,784,835
"nlsr7",214,226,238,256,254,293,287,318,333,340,358
"nlsr8",212,230,239,262,253,296,285,324,330,350,363
"nlsr9",215,229,243,259,254,292,283,319,342,349,363
"nlsr10",458,484,513,561,547,674,613,725,710,775,768
"nlsr11",321,361,373,407,381,437,443,486,514,535,547
"nlsr12",212,222,238,253,257,288,281,310,325,340,351
"nlsr13",210,225,237,255,249,291,277,314,321,343,354
"nlsr14",209,226,239,258,249,289,281,313,328,344,355
"nlsr15",413,432,469,518,484,591,577,640,661,716,695
"sum",4820,5157,5418,5891,5655,6626,6385,7237,7463,7813,8079
"ave",301.25,322.3125,338.625,368.1875,353.4375,414.125,399.0625,452.3125,466.4375,488.3125,504.9375
"r_sum",4715,5046,5301,5765,5529,6483,6246,7083,7302,7640,7902
"r_ave",314.333333333333,336.4,353.4,384.333333333333,368.6,432.2,416.4,472.2,486.8,509.333333333333,526.8
"r_sum1-6",2251,2411,2512,2736,2601,3032,2919,3334,3438,3548,3748
"r_ave1-6",375.166666666667,401.833333333333,418.666666666667,456,433.5,505.333333333333,486.5,555.666666666667,573,591.333333333333,624.666666666667
"r_sum7-10",1099,1169,1233,1338,1308,1555,1468,1686,1715,1814,1852
"r_ave7-10",274.75,292.25,308.25,334.5,327,388.75,367,421.5,428.75,453.5,463
