"name","LSA_interest0","LSA_interest1","LSA_interest2","LSA_interest3","LSA_interest4","LSA_interest5","LSA_interest6","LSA_interest7","LSA_interest8","LSA_interest9","LSA_interest10"
"nlsr_pc",214,232,242,254,257,288,288,315,331,346,359
"nlsr1",640,690,724,764,755,853,854,933,975,1012,1050
"nlsr2",637,676,711,750,729,806,830,888,917,939,982
"nlsr3",424,461,486,513,503,577,566,633,659,684,710
"nlsr4",631,671,711,756,744,819,817,896,952,954,1014
"nlsr5",640,686,708,751,739,829,838,912,918,974,994
"nlsr6",634,689,724,770,748,863,844,951,977,1011,1057
"nlsr7",420,443,471,508,504,561,553,604,650,657,698
"nlsr8",410,442,473,501,500,553,540,605,644,650,687
"nlsr9",415,449,467,506,487,564,555,617,623,662,682
"nlsr10",635,686,707,746,739,851,837,935,948,993,1024
"nlsr11",419,449,477,510,495,572,567,630,648,673,702
"nlsr12",408,426,453,496,485,550,539,595,640,658,689
"nlsr13",380,414,444,481,474,539,521,590,621,639,675
"nlsr14",377,416,440,478,465,543,532,593,607,641,671
"nlsr15",608,653,688,729,715,838,827,918,940,985,1020
"sum",7892,8483,8926,9513,9339,10606,10508,11615,12050,12478,13014
"ave",493.25,530.1875,557.875,594.5625,583.6875,662.875,656.75,725.9375,753.125,779.875,813.375
"r_sum",7678,8251,8684,9259,9082,10318,10220,11300,11719,12132,12655
"r_ave",511.866666666667,550.066666666667,578.933333333333,617.266666666667,605.466666666667,687.866666666667,681.333333333333,753.333333333333,781.266666666667,808.8,843.666666666667
"r_sum1-6",3606,3873,4064,4304,4218,4747,4749,5213,5398,5574,5807
"r_ave1-6",601,645.5,677.333333333333,717.333333333333,703,791.166666666667,791.5,868.833333333333,899.666666666667,929,967.833333333333
"r_sum7-10",1880,2020,2118,2261,2230,2529,2485,2761,2865,2962,3091
"r_ave7-10",470,505,529.5,565.25,557.5,632.25,621.25,690.25,716.25,740.5,772.75
