"name","sync0","sync1","sync2","sync3","sync4","sync5","sync6","sync7","sync8","sync9","sync10"
"nlsr_pc",313,332,353,378,372,431,417,463,482,504,529
"nlsr1",1038,1081,1145,1257,1196,1386,1334,1479,1561,1627,1687
"nlsr2",995,1045,1109,1205,1166,1363,1321,1454,1517,1592,1672
"nlsr3",744,782,833,906,862,1005,953,1078,1137,1185,1227
"nlsr4",942,1007,1068,1149,1123,1307,1259,1403,1455,1527,1601
"nlsr5",975,1041,1112,1192,1169,1375,1328,1482,1517,1609,1677
"nlsr6",1135,1232,1299,1400,1364,1559,1522,1702,1766,1835,1915
"nlsr7",628,668,712,766,748,868,836,936,970,1016,1060
"nlsr8",626,670,711,765,748,867,841,932,966,1018,1061
"nlsr9",627,669,709,767,745,867,832,934,967,1019,1060
"nlsr10",1058,1154,1221,1293,1278,1503,1444,1635,1658,1767,1818
"nlsr11",765,826,863,933,919,1057,1020,1134,1176,1225,1286
"nlsr12",626,667,712,762,748,867,832,932,965,1017,1060
"nlsr13",628,666,708,762,747,866,833,930,965,1018,1058
"nlsr14",627,669,707,760,742,868,834,930,965,1018,1060
"nlsr15",1038,1115,1176,1265,1238,1471,1394,1563,1619,1709,1781
"sum",12765,13624,14438,15560,15165,17660,17000,18987,19686,20686,21552
"ave",797.8125,851.5,902.375,972.5,947.8125,1103.75,1062.5,1186.6875,1230.375,1292.875,1347
"r_sum",12452,13292,14085,15182,14793,17229,16583,18524,19204,20182,21023
"r_ave",830.133333333333,886.133333333333,939,1012.13333333333,986.2,1148.6,1105.53333333333,1234.93333333333,1280.26666666667,1345.46666666667,1401.53333333333
"r_sum1-6",5829,6188,6566,7109,6880,7995,7717,8598,8953,9375,9779
"r_ave1-6",971.5,1031.33333333333,1094.33333333333,1184.83333333333,1146.66666666667,1332.5,1286.16666666667,1433,1492.16666666667,1562.5,1629.83333333333
"r_sum7-10",2939,3161,3353,3591,3519,4105,3953,4437,4561,4820,4999
"r_ave7-10",734.75,790.25,838.25,897.75,879.75,1026.25,988.25,1109.25,1140.25,1205,1249.75
