"name","LSA_interest0","LSA_interest1","LSA_interest2","LSA_interest3","LSA_interest4","LSA_interest5","LSA_interest6","LSA_interest7","LSA_interest8","LSA_interest9","LSA_interest10"
"nlsr_pc",1,1.08762886597938,1.07731958762887,1.16494845360825,1.34536082474227,1.29896907216495,1.28350515463918,1.45876288659794,1.39690721649485,1.4639175257732,1.41237113402062
"nlsr1",1,1.09027777777778,1.09895833333333,1.14930555555556,1.33506944444444,1.26909722222222,1.27256944444444,1.42534722222222,1.36458333333333,1.44270833333333,1.38888888888889
"nlsr2",1,1.04258943781942,1.06814310051107,1.13287904599659,1.28449744463373,1.19591141396934,1.20954003407155,1.34923339011925,1.31856899488927,1.33560477001704,1.32027257240204
"nlsr3",1,1.128,1.128,1.144,1.30666666666667,1.28266666666667,1.27733333333333,1.37066666666667,1.29866666666667,1.46666666666667,1.368
"nlsr4",1,1.03787878787879,1.06565656565657,1.12626262626263,1.29292929292929,1.19444444444444,1.20959595959596,1.3510101010101,1.31565656565657,1.33585858585859,1.32323232323232
"nlsr5",1,1.03580562659847,1.0383631713555,1.16624040920716,1.27365728900256,1.20971867007673,1.20716112531969,1.32736572890026,1.32225063938619,1.32992327365729,1.34526854219949
"nlsr6",1,1.12208258527828,1.12387791741472,1.16337522441652,1.27648114901257,1.30520646319569,1.27648114901257,1.34290843806104,1.28545780969479,1.47037701974865,1.3967684021544
"nlsr7",1,1.06596306068602,1.0712401055409,1.15831134564644,1.33509234828496,1.22163588390501,1.25065963060686,1.38786279683377,1.37203166226913,1.39313984168865,1.39841688654354
"nlsr8",1,1.04347826086957,1.04619565217391,1.22554347826087,1.3070652173913,1.23913043478261,1.23097826086957,1.38858695652174,1.37771739130435,1.375,1.41032608695652
"nlsr9",1,1.13142857142857,1.13714285714286,1.16571428571429,1.31142857142857,1.35714285714286,1.29428571428571,1.38571428571429,1.32571428571429,1.52571428571429,1.46857142857143
"nlsr10",1,1.11581920903955,1.15254237288136,1.19774011299435,1.34463276836158,1.32485875706215,1.34463276836158,1.42937853107345,1.33333333333333,1.54802259887006,1.50847457627119
"sum",1,1.08106914071129,1.09189308592887,1.16059200353435,1.30704660923349,1.25955378838083,1.25668212944555,1.37839628893307,1.33311243649216,1.42102937927988,1.3887784404683
"ave",1,1.08106914071129,1.09189308592887,1.16059200353435,1.30704660923349,1.25955378838083,1.25668212944555,1.37839628893307,1.33311243649216,1.42102937927988,1.3887784404683
"r_sum",1,1.08077544426494,1.09254558042926,1.16039695361182,1.30533117932149,1.25778906069698,1.25548119086084,1.37479806138934,1.33025617355181,1.41910916224325,1.38772213247173
"r_ave",1,1.08077544426494,1.09254558042926,1.16039695361182,1.30533117932149,1.25778906069698,1.25548119086084,1.37479806138934,1.33025617355181,1.41910916224325,1.38772213247173
"r_sum1-6",1,1.07702984038862,1.08848022206801,1.147120055517,1.29562803608605,1.24462179042332,1.24358084663428,1.36328938237335,1.31887578070784,1.39937543372658,1.3587786259542
"r_ave1-6",1,1.07702984038862,1.08848022206801,1.147120055517,1.29562803608605,1.24462179042332,1.24358084663428,1.36328938237335,1.31887578070784,1.39937543372658,1.3587786259542
"r_sum7-10",1,1.0882150241213,1.10062026188835,1.18676774638181,1.32460372157133,1.28394210889042,1.27911784975879,1.39765678842178,1.35286009648518,1.45830461750517,1.44521019986216
"r_ave7-10",1,1.0882150241213,1.10062026188835,1.18676774638181,1.32460372157133,1.28394210889042,1.27911784975879,1.39765678842178,1.35286009648518,1.45830461750517,1.44521019986216
