"name","sync0","sync1","sync2","sync3","sync4","sync5","sync6","sync7","sync8","sync9","sync10"
"nlsr_pc",1,1.10227272727273,1.09848484848485,1.22727272727273,1.31818181818182,1.29545454545455,1.32575757575758,1.43181818181818,1.36742424242424,1.45454545454545,1.51893939393939
"nlsr1",1,1.09899749373434,1.09899749373434,1.21804511278195,1.31578947368421,1.29323308270677,1.32706766917293,1.42857142857143,1.35964912280702,1.44360902255639,1.5187969924812
"nlsr2",1,1.1015037593985,1.1015037593985,1.21804511278195,1.31578947368421,1.29072681704261,1.31954887218045,1.42857142857143,1.35714285714286,1.44486215538847,1.5187969924812
"nlsr3",1,1.09586466165414,1.09774436090226,1.21804511278195,1.31390977443609,1.28947368421053,1.31578947368421,1.42857142857143,1.3609022556391,1.44360902255639,1.51691729323308
"nlsr4",1,1.1015037593985,1.1015037593985,1.21428571428571,1.30639097744361,1.28571428571429,1.31954887218045,1.42669172932331,1.35526315789474,1.44360902255639,1.51503759398496
"nlsr5",1,1.10566037735849,1.10188679245283,1.2188679245283,1.31320754716981,1.28679245283019,1.32452830188679,1.43396226415094,1.36415094339623,1.44905660377358,1.52452830188679
"nlsr6",1,1.09398496240601,1.1015037593985,1.22055137844612,1.30952380952381,1.28571428571429,1.31954887218045,1.42857142857143,1.3609022556391,1.44360902255639,1.5125313283208
"nlsr7",1,1.1015037593985,1.1015037593985,1.21804511278195,1.30827067669173,1.28571428571429,1.31954887218045,1.42481203007519,1.35714285714286,1.44736842105263,1.5187969924812
"nlsr8",1,1.1015037593985,1.1015037593985,1.21616541353383,1.30451127819549,1.28571428571429,1.31954887218045,1.42857142857143,1.3609022556391,1.43984962406015,1.51691729323308
"nlsr9",1,1.09398496240601,1.1015037593985,1.21616541353383,1.30827067669173,1.28571428571429,1.31954887218045,1.42857142857143,1.35714285714286,1.44360902255639,1.51127819548872
"nlsr10",1,1.10018903591682,1.10775047258979,1.22495274102079,1.31190926275992,1.2930056710775,1.32514177693762,1.43667296786389,1.36862003780718,1.45179584120983,1.51984877126654
"sum",1,1.09941978986984,1.10130155245413,1.2187549004234,1.31143170769955,1.28869374313941,1.32131096126705,1.42935549631488,1.36035753489101,1.44535047828132,1.51732789713031
"ave",1,1.09941978986984,1.10130155245413,1.2187549004234,1.31143170769955,1.28869374313941,1.32131096126705,1.42935549631488,1.36035753489101,1.44535047828132,1.51732789713031
"r_sum",1,1.09929658105676,1.10142319646655,1.21838704400458,1.31114019303124,1.28840176672665,1.32111892687715,1.42924914117455,1.36005234745624,1.44495337804679,1.51725830197939
"r_ave",1,1.09929658105676,1.10142319646655,1.21838704400458,1.31114019303124,1.28840176672665,1.32111892687715,1.42924914117455,1.36005234745624,1.44495337804679,1.51725830197939
"r_sum1-6",1,1.09929789368104,1.10055165496489,1.21815446339017,1.31268806419258,1.2888665997994,1.32121364092277,1.429037111334,1.35957873620863,1.44458375125376,1.51755265797392
"r_ave1-6",1,1.09929789368104,1.10055165496489,1.21815446339017,1.31268806419258,1.2888665997994,1.32121364092277,1.429037111334,1.35957873620863,1.44458375125376,1.51755265797392
"r_sum7-10",1,1.09929411764706,1.10305882352941,1.21882352941176,1.30823529411765,1.28752941176471,1.32094117647059,1.42964705882353,1.36094117647059,1.44564705882353,1.51670588235294
"r_ave7-10",1,1.09929411764706,1.10305882352941,1.21882352941176,1.30823529411765,1.28752941176471,1.32094117647059,1.42964705882353,1.36094117647059,1.44564705882353,1.51670588235294
