"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","2234","497","497","54","54","346","178","483","124","1","2234","342057"
"nlsr1","2757","460","460","88","88","514","252","720","174","1","2757","510279"
"nlsr2","2475","303","303","88","88","516","267","725","184","1","2475","513395"
"nlsr3","1462","127","127","60","60","341","165","477","104","1","1462","338280"
"nlsr4","1488","139","139","59","59","342","164","479","106","1","1488","339560"
"nlsr5","1313","38","38","58","58","344","172","482","122","1","1313","341417"
"nlsr6","1305","34","34","57","57","341","177","480","124","1","1305","340179"
"nlsr7","1287","34","34","58","58","333","164","479","126","1","1287","339560"
"nlsr8","1249","38","38","58","58","315","162","479","100","1","1249","339560"
"nlsr9","1300","38","38","55","55","318","168","481","146","1","1300","340819"
"nlsr10","1274","34","34","58","57","323","170","481","116","1","1274","340819"
"sum","18144","1742","1742","693","692","4033","2039","5766","1426","11","18144","4085925"
