"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","2234","497","0","18","36","176","87","162","80","124","1","242","171338","103028","68310"
"nlsr1","2757","230","230","59","29","255","168","240","160","174","1","400","289305","152685","136620"
"nlsr2","2475","36","267","59","29","255","175","243","160","184","1","403","291162","154542","136620"
"nlsr3","1462","17","110","30","30","170","82","159","80","104","1","239","169460","101150","68310"
"nlsr4","1488","19","120","30","29","172","81","160","80","106","1","240","170100","101790","68310"
"nlsr5","1313","19","19","29","29","174","86","162","80","122","1","242","171338","103028","68310"
"nlsr6","1305","17","17","29","28","172","86","160","80","124","1","240","170100","101790","68310"
"nlsr7","1287","17","17","29","29","176","85","159","80","126","1","239","169460","101150","68310"
"nlsr8","1249","19","19","29","29","170","81","160","80","100","1","240","170100","101790","68310"
"nlsr9","1300","19","19","27","28","170","84","160","80","146","1","240","170100","101790","68310"
"nlsr10","1274","17","17","29","28","168","86","160","80","116","1","240","170100","101790","68310"
"sum","18144","907","835","368","324","2058","1101","1925","1040","1426","11","2965","2112563","1224533","888030"
