"name","sync0","sync1","sync2","sync3","sync4","sync5","sync6","sync7","sync8","sync9","sync10"
"nlsr_pc",1,1.04807692307692,1.08653846153846,1.10576923076923,1.24038461538462,1.25,1.27884615384615,1.32692307692308,1.32692307692308,1.41346153846154,1.45192307692308
"nlsr1",1,1.04780114722753,1.09560229445507,1.11663479923518,1.23900573613767,1.25239005736138,1.2848948374761,1.32504780114723,1.31548757170172,1.41491395793499,1.45889101338432
"nlsr2",1,1.04971319311663,1.09942638623327,1.12045889101338,1.25621414913958,1.26386233269598,1.29445506692161,1.34225621414914,1.33269598470363,1.43785850860421,1.47992351816444
"nlsr3",1,1.05732484076433,1.10509554140127,1.12738853503185,1.2515923566879,1.26751592356688,1.30573248407643,1.35350318471338,1.34076433121019,1.43949044585987,1.5
"nlsr4",1,1.05111821086262,1.10543130990415,1.12460063897764,1.25878594249201,1.26517571884984,1.30031948881789,1.33226837060703,1.3258785942492,1.43769968051118,1.48242811501597
"nlsr5",1,1.05128205128205,1.10897435897436,1.13141025641026,1.25320512820513,1.27564102564103,1.30128205128205,1.34935897435897,1.33974358974359,1.43910256410256,1.48397435897436
"nlsr6",1,1.05374280230326,1.10172744721689,1.12284069097889,1.25335892514395,1.27255278310941,1.29942418426104,1.34932821497121,1.33781190019194,1.44145873320537,1.48752399232246
"nlsr7",1,1.05345911949686,1.10691823899371,1.12578616352201,1.24213836477987,1.25786163522013,1.28301886792453,1.32075471698113,1.32075471698113,1.42138364779874,1.45283018867925
"nlsr8",1,1.05,1.084375,1.1125,1.2375,1.253125,1.271875,1.315625,1.3125,1.403125,1.440625
"nlsr9",1,1.05696202531646,1.11075949367089,1.11708860759494,1.25,1.27215189873418,1.29430379746835,1.33860759493671,1.32594936708861,1.42721518987342,1.47151898734177
"nlsr10",1,1.05345911949686,1.10062893081761,1.11006289308176,1.23270440251572,1.26100628930818,1.28301886792453,1.33018867924528,1.31132075471698,1.40880503144654,1.4559748427673
"sum",1,1.05203503348789,1.10097887686759,1.12029881504379,1.24755280783101,1.26352395672334,1.29160226687275,1.33590932509016,1.32663575476558,1.4273570324575,1.47140649149923
"ave",1,1.05203503348789,1.10097887686759,1.12029881504379,1.24755280783101,1.26352395672334,1.29160226687275,1.33590932509016,1.32663575476558,1.4273570324575,1.47140649149923
"r_sum",1,1.05214399152991,1.10137638962414,1.12069878242456,1.24775013234516,1.26389624139756,1.29195341450503,1.3361566966649,1.32662784542086,1.42773954473266,1.47194282689254
"r_ave",1,1.05214399152991,1.10137638962414,1.12069878242456,1.24775013234516,1.26389624139756,1.29195341450503,1.3361566966649,1.32662784542086,1.42773954473266,1.47194282689254
"r_sum1-6",1,1.05147645650439,1.10175578611333,1.12290502793296,1.25139664804469,1.26536312849162,1.29648842777334,1.34118116520351,1.33120510774142,1.4341580207502,1.4804469273743
"r_ave1-6",1,1.05147645650439,1.10175578611333,1.12290502793296,1.25139664804469,1.26536312849162,1.29648842777334,1.34118116520351,1.33120510774142,1.4341580207502,1.4804469273743
"r_sum7-10",1,1.05345911949686,1.10062893081761,1.11635220125786,1.24056603773585,1.26100628930818,1.28301886792453,1.32625786163522,1.31761006289308,1.41509433962264,1.45518867924528
"r_ave7-10",1,1.05345911949686,1.10062893081761,1.11635220125786,1.24056603773585,1.26100628930818,1.28301886792453,1.32625786163522,1.31761006289308,1.41509433962264,1.45518867924528
