"name","sync_data0","sync_data1","sync_data2","sync_data3","sync_data4","sync_data5","sync_data6","sync_data7","sync_data8","sync_data9","sync_data10"
"nlsr_pc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nlsr1",1,1.04807692307692,1.09615384615385,1.12019230769231,1.24038461538462,1.25961538461538,1.29807692307692,1.32692307692308,1.31730769230769,1.42307692307692,1.46153846153846
"nlsr2",1,1.05288461538462,1.10576923076923,1.12980769230769,1.28365384615385,1.29326923076923,1.32211538461538,1.37019230769231,1.36057692307692,1.48076923076923,1.51442307692308
"nlsr3",1,1.07692307692308,1.125,1.15384615384615,1.27884615384615,1.30769230769231,1.36538461538462,1.41346153846154,1.39423076923077,1.50961538461538,1.59615384615385
"nlsr4",1,1.04807692307692,1.11538461538462,1.14423076923077,1.28846153846154,1.28846153846154,1.33653846153846,1.35576923076923,1.33653846153846,1.5,1.51923076923077
"nlsr5",1,1.04807692307692,1.11538461538462,1.14423076923077,1.25961538461538,1.30769230769231,1.32692307692308,1.375,1.36538461538462,1.47115384615385,1.50961538461538
"nlsr6",1,1.04784688995215,1.09569377990431,1.11961722488038,1.25837320574163,1.29186602870813,1.31578947368421,1.36842105263158,1.35406698564593,1.4688995215311,1.52631578947368
"nlsr7",1,1.04545454545455,1.10909090909091,1.12727272727273,1.24545454545455,1.23636363636364,1.27272727272727,1.3,1.30909090909091,1.41818181818182,1.43636363636364
"nlsr8",1,1.05454545454545,1.06363636363636,1.12727272727273,1.23636363636364,1.24545454545455,1.26363636363636,1.31818181818182,1.30909090909091,1.39090909090909,1.42727272727273
"nlsr9",1,1.03636363636364,1.1,1.1,1.22727272727273,1.25454545454545,1.28181818181818,1.31818181818182,1.3,1.40909090909091,1.46363636363636
"nlsr10",1,1.04545454545455,1.09090909090909,1.1,1.2,1.24545454545455,1.27272727272727,1.31818181818182,1.28181818181818,1.38181818181818,1.44545454545455
"sum",1,1.05010893246187,1.10094408133624,1.12563543936093,1.25344952795933,1.27450980392157,1.30646332607117,1.34785766158315,1.33478576615832,1.44734931009441,1.49164851125635
"ave",1,1.05010893246187,1.10094408133624,1.12563543936093,1.25344952795933,1.27450980392157,1.30646332607117,1.34785766158315,1.33478576615832,1.44734931009441,1.49164851125635
"r_sum",1,1.05010893246187,1.10094408133624,1.12563543936093,1.25344952795933,1.27450980392157,1.30646332607117,1.34785766158315,1.33478576615832,1.44734931009441,1.49164851125635
"r_ave",1,1.05010893246187,1.10094408133624,1.12563543936093,1.25344952795933,1.27450980392157,1.30646332607117,1.34785766158315,1.33478576615832,1.44734931009441,1.49164851125635
"r_sum1-6",1,1.05229455709712,1.10565635005336,1.13127001067236,1.26574172892209,1.28815368196371,1.32230522945571,1.36392742796158,1.35112059765208,1.46958377801494,1.51440768409819
"r_ave1-6",1,1.05229455709712,1.10565635005336,1.13127001067236,1.26574172892209,1.28815368196371,1.32230522945571,1.36392742796158,1.35112059765208,1.46958377801494,1.51440768409819
"r_sum7-10",1,1.04545454545455,1.09090909090909,1.11363636363636,1.22727272727273,1.24545454545455,1.27272727272727,1.31363636363636,1.3,1.4,1.44318181818182
"r_ave7-10",1,1.04545454545455,1.09090909090909,1.11363636363636,1.22727272727273,1.24545454545455,1.27272727272727,1.31363636363636,1.3,1.4,1.44318181818182
