"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1816","500","500","25","25","252","115","342","56","1","1816"
"nlsr1","4467","1000","1000","81","81","731","364","1032","177","1","4467"
"nlsr2","2969","271","271","81","81","702","366","1030","166","1","2969"
"nlsr3","2207","292","292","54","54","481","241","686","106","1","2207"
"nlsr4","1697","34","34","54","54","473","244","684","120","0","1697"
"nlsr5","1670","30","30","54","54","473","243","682","104","0","1670"
"nlsr6","2561","62","62","82","82","727","358","1026","162","0","2561"
"nlsr7","1676","34","34","54","54","463","236","684","116","1","1676"
"nlsr8","1652","30","30","54","54","456","240","684","104","0","1652"
"nlsr9","1671","30","30","54","54","475","241","684","103","0","1671"
"nlsr10","1680","32","32","54","54","469","230","684","124","1","1680"
"sum","24066","2315","2315","647","647","5702","2878","8218","1338","6","24066"
