"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","772","500","0","9","18","125","2","118","0","58","3","118","76572","76572","0"
"nlsr1","2302","500","500","57","28","372","250","357","238","172","5","595","437509","231537","205972"
"nlsr2","1582","30","244","48","37","366","255","360","242","162","3","602","443006","233553","209453"
"nlsr3","1074","32","256","27","28","238","128","240","125","118","3","365","263827","155702","108125"
"nlsr4","830","15","15","27","28","256","128","240","121","108","2","361","260369","155702","104667"
"nlsr5","816","15","15","27","28","244","127","239","121","120","2","360","259764","155054","104710"
"nlsr6","1342","32","32","45","36","339","252","360","246","156","2","606","446394","233553","212841"
"nlsr7","823","15","15","27","27","248","126","240","125","116","2","365","263835","155680","108155"
"nlsr8","811","15","15","27","27","242","125","238","122","122","2","360","260064","154440","105624"
"nlsr9","808","18","18","27","27","228","128","236","126","94","2","362","262156","153144","109012"
"nlsr10","813","14","14","27","27","246","125","238","122","104","2","360","260006","154440","105566"
"sum","11973","1186","1124","348","311","2904","1646","2866","1588","1330","28","4454","3233502","1859377","1374125"
