"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","2781","500","0","18","36","278","131","252","127","100","1","379","274537","164278","110259"
"nlsr1","3723","252","252","59","29","408","274","384","254","166","1","638","470793","250275","220518"
"nlsr2","3208","30","248","57","27","375","277","381","261","164","1","642","474892","248418","226474"
"nlsr3","2043","13","116","29","29","264","131","254","130","112","1","384","278452","165612","112840"
"nlsr4","2108","17","136","27","28","272","138","254","132","124","1","386","280187","165612","114575"
"nlsr5","1826","15","15","29","28","260","138","254","131","112","1","385","279244","165612","113632"
"nlsr6","1828","15","15","27","28","256","136","254","131","119","1","385","279380","165612","113768"
"nlsr7","1804","13","13","27","28","260","136","252","131","114","1","383","277949","164278","113671"
"nlsr8","1843","17","17","27","27","268","136","254","135","126","1","389","282832","165612","117220"
"nlsr9","1794","15","15","27","27","254","133","253","133","116","1","386","280269","164945","115324"
"nlsr10","1814","15","15","27","27","254","136","254","133","124","1","387","281143","165612","115531"
"sum","24772","902","842","354","314","3149","1766","3046","1698","1377","11","4744","3459678","1985866","1473812"
