"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1975","500","500","27","27","298","144","425","52","2","1975"
"nlsr1","4952","1000","1000","85","85","871","446","1279","184","2","4952"
"nlsr2","3459","261","261","89","88","848","453","1281","176","2","3459"
"nlsr3","2573","299","299","57","57","560","307","852","140","2","2573"
"nlsr4","1996","30","30","56","56","561","298","853","110","2","1996"
"nlsr5","2004","28","28","54","54","578","302","852","106","2","2004"
"nlsr6","3045","62","62","81","81","835","455","1278","190","1","3045"
"nlsr7","1981","30","30","54","54","554","289","852","116","2","1981"
"nlsr8","2007","28","28","55","54","573","301","852","114","2","2007"
"nlsr9","1988","34","34","54","54","554","294","852","110","2","1988"
"nlsr10","1974","28","28","54","54","550","292","851","114","3","1974"
"sum","27954","2300","2300","666","664","6782","3581","10227","1412","22","27954"
