"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","817","500","0","9","18","149","0","141","0","52","2","141","91091","91091","0"
"nlsr1","2540","500","500","56","29","447","297","426","285","184","2","711","520904","275193","245711"
"nlsr2","1792","29","232","50","39","411","311","426","294","176","2","720","528664","275211","253453"
"nlsr3","1231","31","268","29","28","274","163","284","154","140","2","438","316223","183462","132761"
"nlsr4","954","15","15","29","27","282","153","284","149","110","2","433","311913","183462","128451"
"nlsr5","962","14","14","27","27","294","155","284","147","106","2","431","310174","183462","126712"
"nlsr6","1583","31","31","45","36","411","308","426","295","190","1","721","529584","275193","254391"
"nlsr7","948","15","15","27","27","284","149","284","147","116","2","431","310212","183462","126750"
"nlsr8","961","14","14","27","27","294","154","284","147","114","2","431","310164","183462","126702"
"nlsr9","959","17","17","27","27","288","152","284","147","110","2","431","310203","183462","126741"
"nlsr10","949","14","14","27","27","286","151","284","146","114","3","430","309364","183462","125902"
"sum","13696","1180","1120","353","312","3420","1993","3407","1911","1412","22","5318","3848496","2200922","1647574"
