"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1771","500","500","27","27","222","106","312","76","1","1771"
"nlsr1","4357","1000","1000","84","83","672","327","942","248","1","4357"
"nlsr2","2881","275","275","81","81","671","327","942","228","1","2881"
"nlsr3","2113","285","285","54","54","443","218","627","146","1","2113"
"nlsr4","1597","30","30","54","54","451","221","626","130","1","1597"
"nlsr5","1576","30","30","54","54","425","218","624","140","1","1576"
"nlsr6","2359","60","60","81","81","640","330","938","168","1","2359"
"nlsr7","1556","30","30","55","55","428","217","624","116","1","1556"
"nlsr8","1524","30","30","56","56","390","217","628","116","1","1524"
"nlsr9","1509","30","30","56","56","394","219","623","100","1","1509"
"nlsr10","1548","30","30","56","55","416","214","624","122","1","1548"
"sum","22791","2300","2300","658","656","5152","2614","7510","1590","11","22791"
