"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","1615","497","497","27","27","174","81","237","74","1","1615","201901"
"nlsr1","4009","994","994","90","90","531","312","789","208","1","4009","680754"
"nlsr2","3097","557","557","90","90","532","309","767","194","1","3097","658805"
"nlsr3","1405","0","0","60","60","354","243","569","118","1","1405","496733"
"nlsr4","1986","58","58","90","90","524","264","727","174","1","1986","618982"
"nlsr5","2072","62","62","89","89","524","315","758","172","1","2072","649869"
"nlsr6","2169","0","0","87","87","529","404","895","166","1","2169","786521"
"nlsr7","1297","30","30","58","58","340","178","484","118","1","1297","411988"
"nlsr8","1296","28","28","58","58","354","178","483","108","1","1296","411209"
"nlsr9","1300","30","30","58","58","342","177","484","120","1","1300","411988"
"nlsr10","2145","32","32","86","86","532","376","830","170","1","2145","721751"
"nlsr11","1462","0","0","55","55","352","266","603","130","1","1462","530650"
"nlsr12","1281","30","30","55","55","325","167","484","134","1","1281","411988"
"nlsr13","1261","28","28","55","55","332","178","484","100","1","1261","411988"
"nlsr14","1266","30","30","55","55","319","168","484","124","1","1266","411988"
"nlsr15","2102","32","32","82","82","519","340","810","204","1","2102","701783"
"sum","29763","2408","2408","1095","1095","6583","3956","9888","2314","16","29763","8518898"
